q,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,var_qi,i,Q,var_agg_i
0,36307350732.40192,35415032170.930664,34680761291.80873,34165208511.49815,33790076557.516506,33572830082.56932,33312774210.67249,33179094430.70113,33155404290.756798,33261647855.117455,33460851671.845554,33694498465.45927,34142068203.00487,34650450497.10163,35325449885.06958,36117943151.04014,0.0001721223610101795,5,10,0.0003608815138379292
1,36265156683.64107,35573975530.92583,34725910535.00776,34003306755.69692,33696508687.278133,33504412023.097763,33364827082.996494,33254180406.614098,33165633044.596413,33235517620.67956,33211692125.2782,33564447180.3426,34112401510.467808,34557093965.09508,35343236886.59319,36072370088.658806,0.00017984823821098303,5,10,0.0003608815138379292
2,37333869583.93701,36346137530.64883,35356853387.282326,34638577473.75417,34106386299.78071,33617944049.08209,33329245379.14281,33252323230.54606,32983558231.474598,33058973438.875843,33282895396.39833,33482095433.220333,34091288478.09286,34965061552.94947,35749914609.31115,36575596132.75916,0.000301072666921148,5,10,0.0003608815138379292
3,35439537951.40981,34393532768.905685,33694986718.53568,32649857971.19196,32638110843.76062,32652780884.808,32669486524.83289,32806873815.28427,32851629626.58341,33266405839.32813,34107933274.376583,34232823907.015293,35571319987.26462,37288782305.58875,38268427245.45369,38215704131.16093,0.0006011509732560552,5,10,0.0003608815138379292
4,35053278798.56801,34534970266.19119,33118674673.549866,33096502033.491135,33574629351.756096,33364263908.42371,33144045803.517796,33085817607.16822,33443491893.686638,33438373206.29748,34083252159.483192,33666672554.278717,35024021940.248985,35546165242.42521,36284458705.30636,36716863400.04028,0.00022261405297532098,5,10,0.0003608815138379292
5,34542879565.941505,34835006754.81482,33994002107.60049,32314547674.974384,31781883947.814564,32021756613.45831,31910178274.09551,32966757423.578316,33127537758.807564,33317573269.071022,34218109434.12782,34869999165.183586,35436379580.88478,36409794942.098114,37388412369.90028,37849031002.163925,0.0005655442466348638,5,10,0.0003608815138379292
6,36755865389.147415,36312100346.578094,35731016860.61498,35077249112.29559,33351456983.38151,33550382788.815292,34800686800.765175,33374136289.058113,32348170821.872654,32926868086.0293,32279857473.187073,32832176205.779003,34364781552.6351,33799696217.50005,34967709841.87409,34618135805.90761,0.0002964405790343672,5,10,0.0003608815138379292
7,35106989244.53745,37671262151.013824,37402498853.41243,36547882497.08034,34293428751.427525,34571037795.93096,34422065750.47519,37724915623.21362,36542408837.85419,32506399204.057316,32406261389.669456,30071756838.509552,29883897000.701054,29730009863.519714,30763454688.26053,32262556545.3152,0.0013624353384956854,5,10,0.0003608815138379292
8,15152275544.88217,20147103250.356155,23125099547.95758,21926278590.61278,21022459999.99265,21249859969.637222,23859007239.237293,23601113806.48189,26063188731.425304,29895259811.21301,31530281597.838753,35957775953.40435,38239892079.88255,43592200178.40723,45745015464.169876,42780065242.09312,0.02000604524443704,5,10,0.0003608815138379292
9,42463097179.45664,41751736332.318665,41023379549.28406,40394761911.55699,40852620313.22484,38857551699.5103,34890672418.82208,34030664235.53198,36523743799.04043,35298677625.24768,37323260164.61712,38641134154.42674,37953701411.844,42057191514.99718,37355734768.40011,43906295464.830765,0.001096280041080515,5,10,0.0003608815138379292
0,36537764794.470825,35620834473.52115,34742530564.24156,34158516587.2067,33706068656.949074,33473393593.52496,33206472119.367245,33114673234.922962,33108104537.696728,33215534074.28863,33386505686.667465,33720464939.56324,34249031514.840267,34880807057.00138,35482437659.125275,36206856132.25782,0.00020682470016376785,6,10,0.0009206204113518732
1,35477892056.43556,34742157752.08101,33969095369.796684,33719612460.746174,33370587124.912746,32929506547.879974,32761612211.996204,33022327488.235477,33218917829.775448,33450795954.58501,33922521616.078545,34138525433.611443,34697508534.54586,35599242295.00754,36345685276.702896,37431685545.375496,0.0002759935559021572,6,10,0.0009206204113518732
2,34699067397.854546,34389582117.907295,33644056186.312702,33190321033.013725,32996843283.03628,33186561401.134342,33420099540.469284,33354279689.356197,33480057245.01901,33547649455.533348,33801629971.310913,34326984282.443287,34767181654.392265,35413724899.704666,36382834796.569916,37284374019.26361,0.00023252109614068224,6,10,0.0009206204113518732
3,35334918373.515396,34570544216.30594,34437235845.60266,34571357412.885994,34602081619.902176,34339065689.604248,33697222547.121376,33348497435.44208,33294773918.379944,32966096633.10555,33500293132.739388,33640025896.327297,33869185354.24862,34557166742.297035,35462623651.22292,35747687884.35619,0.00010790037934732935,6,10,0.0009206204113518732
4,39068406131.893486,37420411197.0718,37186152786.66587,35530633233.38836,34081050800.455997,33734490879.176228,34386489628.52052,32955494440.809944,33511540561.754536,33209408329.93242,32941349513.998596,32858578250.621384,32452801880.2787,33552828928.590725,33862124446.952488,34839945139.55189,0.0005409201743232171,6,10,0.0009206204113518732
5,37542795383.003975,38370032836.960785,38480183460.07438,35451235837.60658,34494281937.54464,34431316240.43385,34455951920.261925,34010106791.87315,32981790214.03487,30624676584.254005,31137967520.263477,32140263422.966442,33871503769.10174,33797631687.42733,34493859338.32364,35582142480.39313,0.0008136245615180984,6,10,0.0009206204113518732
6,36188597123.81619,39239414092.26743,39981674863.217735,38368305247.89482,35842254377.032074,35685930022.19831,33648225211.984386,33757187254.971336,33857323140.973644,35531055318.60271,34124969529.57882,32647671723.213085,31612710478.34257,31227255238.370407,32584847870.416317,31079418593.81264,0.00115111735414859,6,10,0.0009206204113518732
7,54325948404.10676,48516363129.96551,41648125533.479065,39178295015.87021,35739900911.520485,31877048817.44551,32018567599.072155,29631958770.92642,30219141636.765163,31580982103.584965,32348366288.901367,33466720250.3746,30892679542.04785,33958570069.41243,33622964590.634743,32970080963.144024,0.005647763607925236,6,10,0.0009206204113518732
8,36184265045.34456,33861194657.330948,27603750368.975502,28281767315.06517,30294647969.79154,28524849154.36448,26968364598.43004,25058533288.05664,30737350871.61579,30116479511.826847,28353379299.85097,24752259015.92677,25619929585.229748,25301458562.04657,24988627834.674484,25471403316.63908,0.0024110495091989553,6,10,0.0009206204113518732
9,56789057464.894135,55331196793.13161,54134761253.23269,43719227410.318855,39925226504.47835,39970467191.20608,36852387636.73329,35883158143.24428,40018587614.69997,38840847104.66747,35236645527.76838,29190680610.86965,25787195969.75103,29611571554.409725,36890606137.018814,39370217140.93593,0.009310482442094226,6,10,0.0009206204113518732
0,36306291629.43266,35445561675.39798,34775017358.01325,34163696083.237404,33782482844.006104,33499558761.17526,33218192172.23798,33143456547.590126,33087714305.820133,33319777703.35813,33540504493.114437,33828893896.475483,34243842051.42433,34739651488.483665,35452398578.60874,36318555500.4502,0.00018686443446585567,7,10,0.00040880201215345635
1,35853834821.448524,34993649658.64459,34519101594.54011,33972907896.398773,33519776314.796585,33227267398.480507,33298477742.640766,33329243158.144623,33225417681.646896,33277252679.266785,33479552661.217594,34055287094.623512,34253717162.836758,34793330481.52159,35427660158.84545,36507514006.26346,0.00016795962187496564,7,10,0.00040880201215345635
2,36209232540.173164,35210418061.042564,34417377535.426094,34431324406.27203,34018925244.669903,33426606466.585712,33054407077.97367,32901446510.016342,32373183725.002327,33012953998.947193,33350723445.38704,34010171952.87768,34608669622.96091,34974539116.10766,35482958999.01918,35774570038.15533,0.00020558641034834887,7,10,0.00040880201215345635
3,35543732651.27978,35113700996.71401,33907235434.015434,33429663445.34542,33338152666.1436,33455365335.548958,33485985121.447678,33237960470.538746,33592621378.059498,33145888004.18595,33986909914.254627,34635312991.54609,34123376121.535023,34429516893.18387,35165406768.02783,35954165965.03099,0.0001252250095884667,7,10,0.00040880201215345635
4,38335998159.64958,37482616077.24958,36731296050.339966,34969020393.54822,34403220098.78223,34670401567.2982,34041384781.43385,33416457583.735653,32749293332.34459,31979144230.16805,31196820046.632526,31372451363.843513,32126674857.972187,33874006069.775547,35562646380.07822,37021804928.633224,0.0007765029634178039,7,10,0.00040880201215345635
5,33018824853.341072,32971713970.821014,31516432612.44555,31117156846.155464,32252766432.63681,31414881767.402477,31412238251.531467,33585328994.52228,34110916437.160217,32955424376.367683,33614307016.787773,35417149685.14724,35457758025.074745,35432391560.21157,38810710534.56396,38540043742.55904,0.0008755938114205187,7,10,0.00040880201215345635
6,44112326947.503334,40240527840.62028,38840312369.27107,38185264559.36667,35236300299.309746,34014755812.61565,34621251837.06581,32479538028.007786,31564123905.762493,30461974370.885128,30290408741.68776,29604275034.773743,31094407863.66607,33581069315.613735,32657920174.73651,33363574093.936577,0.00239952608102511,7,10,0.00040880201215345635
7,37990379574.20644,39928029567.43332,35692715900.22532,39475515236.37252,39056590963.4718,37954993477.803185,36356154538.93637,35789430000.507286,31725191090.305233,33909356898.63807,33635333574.779606,31813096899.048164,29965523943.721664,28697397141.988396,28173513068.330692,29667719530.027027,0.002627097875997637,7,10,0.00040880201215345635
8,27079036071.768223,25509726600.026825,29793363661.055542,29682273802.90077,27829971868.0303,26349903200.251263,26461764423.673187,27342719472.628414,30399679864.71597,29414890785.79073,26830057571.438602,26171970161.694767,31130507369.06202,26798600757.993977,27119348401.591385,27538500048.700974,0.0006750441030910822,7,10,0.00040880201215345635
9,47781807552.876495,48545468250.12718,62471343274.747,53633102150.61464,48205237352.79905,44864886951.39147,50100448959.77463,44717997924.36853,43375489552.91857,41851657052.93353,35038157095.23664,35953468087.08839,37900020213.39134,30072588844.829704,29581350176.121178,21794505796.4208,0.013041498432386452,7,10,0.00040880201215345635
0,36571367349.79627,35617082429.46496,34838938172.16946,34259262734.659496,33697492670.837566,33475906933.01802,33242243885.722603,33067064564.73616,33043387827.953075,33083521361.697716,33364938756.221848,33674882787.616142,34145834920.265957,34859244869.29513,35597086381.461334,36433163676.047966,0.000227597890654276,8,10,0.00041554484977181217
1,36587337312.49855,35714177152.20977,34986079288.11948,34476682995.952034,34049670115.95871,33328020750.814693,32881505850.727253,32856232299.411716,32896229604.788486,32949686969.744225,33045304237.308525,33580626494.206436,34214716204.43004,34799677532.549385,35625490593.90986,36475119193.83799,0.0002682853140298922,8,10,0.00041554484977181217
2,35379531405.787895,35204552238.471886,34181220769.93345,33878286782.558735,33727303743.21232,33381486412.890415,33193554997.066643,32790148689.515354,32962382749.075813,33230959932.029194,33431453511.72281,34163730559.29949,34646020861.24396,35094571226.6298,36140196936.86617,36622859673.96583,0.00021091527090188236,8,10,0.00041554484977181217
3,36133366221.555405,35106026711.370346,34191546994.96725,34058557549.152954,33530555382.574013,33296943939.954956,33101093367.892776,32877034419.310036,32497660175.273045,32567166436.8593,33294697056.30372,34014677144.18062,34859029591.23997,34227285666.419807,35375425943.05934,36375324026.44292,0.00023007604400024866,8,10,0.00041554484977181217
4,36981211038.57085,35931158516.48799,34992449748.71427,35032203624.617744,34675712406.55439,34528264350.760025,34504620443.76272,34214189736.792175,34215225452.117306,33615800937.8562,32152177392.971733,31941871599.566513,32464109148.998684,33497201315.118427,34479119142.915955,34915114303.75308,0.00028181756673392196,8,10,0.00041554484977181217
5,36263015038.72451,34658949685.81986,33334530282.892704,32971595192.270134,33020841812.322456,32357846208.461674,32731587104.366558,33207271752.1126,32493967896.919853,33037010404.777023,31990795921.265144,32443978905.52062,33735009368.68129,35223705129.63945,35701595587.23011,37992698243.897446,0.0004441711722540213,8,10,0.00041554484977181217
6,37009442387.715996,33102398511.352467,33253039300.84889,33017857260.085285,31516264700.090347,32564121770.129387,33412424453.17485,32811029272.685616,33734699565.6012,32709159391.748634,33257180140.790382,33559364687.438732,35084879955.4316,37991385535.586494,40555307980.85896,42402791982.437744,0.0013641725293562447,8,10,0.00041554484977181217
7,42503459115.265045,38632898680.17981,38773376609.378,39918632688.087265,38247513886.22328,33928357416.04599,30744482956.17872,29452643186.704178,30030317038.855335,29883743078.436386,29875442680.42945,31850213052.956825,31680185746.854042,33799644502.78939,35522065165.43763,35974517236.93413,0.002721702282013336,8,10,0.00041554484977181217
8,24998307794.690228,22859361513.521713,22267992129.406925,23924593966.719246,23333094969.21883,22397479918.715973,24933261136.103302,25125580421.966316,28022094856.204346,26503427140.68946,27455451401.677406,29288448088.758488,32225652345.671093,38482336313.45414,39279211764.17668,41725287358.06072,0.008019592560025232,8,10,0.00041554484977181217
