,ID,ID_degree,center_year,window,bin
0,140,1,1999,5,"(-0.24, 0.01]"
1,215,14,1999,5,"(1.01, 1.26]"
2,256,3,1999,5,"(0.26, 0.51]"
3,314,2,1999,5,"(0.26, 0.51]"
4,330,16,1999,5,"(1.01, 1.26]"
5,355,3,1999,5,"(0.26, 0.51]"
6,413,68,1999,5,"(1.76, 2.01]"
7,488,2,1999,5,"(0.26, 0.51]"
8,546,19,1999,5,"(1.26, 1.51]"
9,561,2,1999,5,"(0.26, 0.51]"
10,678,68,1999,5,"(1.76, 2.01]"
11,694,42,1999,5,"(1.51, 1.76]"
12,710,1,1999,5,"(-0.24, 0.01]"
13,728,3,1999,5,"(0.26, 0.51]"
14,769,2,1999,5,"(0.26, 0.51]"
15,793,239,1999,5,"(2.26, 2.51]"
16,801,1,1999,5,"(-0.24, 0.01]"
17,819,11,1999,5,"(1.01, 1.26]"
18,835,12,1999,5,"(1.01, 1.26]"
19,884,26,1999,5,"(1.26, 1.51]"
20,991,1,1999,5,"(-0.24, 0.01]"
21,1163,3,1999,5,"(0.26, 0.51]"
22,1189,1,1999,5,"(-0.24, 0.01]"
23,1445,4,1999,5,"(0.51, 0.76]"
24,1668,2,1999,5,"(0.26, 0.51]"
25,2641,3,1999,5,"(0.26, 0.51]"
26,2880,34,1999,5,"(1.51, 1.76]"
27,2906,2,1999,5,"(0.26, 0.51]"
28,2922,1,1999,5,"(-0.24, 0.01]"
29,2955,1,1999,5,"(-0.24, 0.01]"
30,2971,18,1999,5,"(1.01, 1.26]"
31,3029,1,1999,5,"(-0.24, 0.01]"
32,3060,112,1999,5,"(2.01, 2.26]"
33,3094,16,1999,5,"(1.01, 1.26]"
34,3102,36,1999,5,"(1.51, 1.76]"
35,3110,13,1999,5,"(1.01, 1.26]"
36,3128,21,1999,5,"(1.26, 1.51]"
37,3136,9,1999,5,"(0.76, 1.01]"
38,3144,3,1999,5,"(0.26, 0.51]"
39,3151,1,1999,5,"(-0.24, 0.01]"
40,3169,6,1999,5,"(0.76, 1.01]"
41,3193,3,1999,5,"(0.26, 0.51]"
42,3219,8,1999,5,"(0.76, 1.01]"
43,3441,21,1999,5,"(1.26, 1.51]"
44,3516,2,1999,5,"(0.26, 0.51]"
45,3524,20,1999,5,"(1.26, 1.51]"
46,3698,2,1999,5,"(0.26, 0.51]"
47,3706,1040,1999,5,"(3.01, 3.26]"
48,3714,4,1999,5,"(0.51, 0.76]"
49,3771,2,1999,5,"(0.26, 0.51]"
50,3797,2,1999,5,"(0.26, 0.51]"
51,3854,1,1999,5,"(-0.24, 0.01]"
52,4035,2,1999,5,"(0.26, 0.51]"
53,4043,3,1999,5,"(0.26, 0.51]"
54,4092,389,1999,5,"(2.51, 2.76]"
55,4100,5,1999,5,"(0.51, 0.76]"
56,4118,1,1999,5,"(-0.24, 0.01]"
57,4142,4,1999,5,"(0.51, 0.76]"
58,4159,7,1999,5,"(0.76, 1.01]"
59,4266,95,1999,5,"(1.76, 2.01]"
60,4315,3,1999,5,"(0.26, 0.51]"
61,4365,1,1999,5,"(-0.24, 0.01]"
62,4381,5,1999,5,"(0.51, 0.76]"
63,4423,1,1999,5,"(-0.24, 0.01]"
64,4589,7,1999,5,"(0.76, 1.01]"
65,4597,1,1999,5,"(-0.24, 0.01]"
66,4605,1,1999,5,"(-0.24, 0.01]"
67,4654,100,1999,5,"(1.76, 2.01]"
68,4704,6,1999,5,"(0.76, 1.01]"
69,4811,5,1999,5,"(0.51, 0.76]"
70,4829,7,1999,5,"(0.76, 1.01]"
71,4837,5,1999,5,"(0.51, 0.76]"
72,4852,26,1999,5,"(1.26, 1.51]"
73,4878,104,1999,5,"(2.01, 2.26]"
74,4886,9,1999,5,"(0.76, 1.01]"
75,4902,158,1999,5,"(2.01, 2.26]"
76,4910,62,1999,5,"(1.76, 2.01]"
