,ID,ID_degree,center_year,window,bin
0,215,4,1997,3,"(0.51, 0.76]"
1,330,9,1997,3,"(0.76, 1.01]"
2,355,3,1997,3,"(0.26, 0.51]"
3,413,31,1997,3,"(1.26, 1.51]"
4,488,1,1997,3,"(-0.24, 0.01]"
5,546,3,1997,3,"(0.26, 0.51]"
6,561,1,1997,3,"(-0.24, 0.01]"
7,678,42,1997,3,"(1.51, 1.76]"
8,694,28,1997,3,"(1.26, 1.51]"
9,710,1,1997,3,"(-0.24, 0.01]"
10,728,2,1997,3,"(0.26, 0.51]"
11,793,173,1997,3,"(2.01, 2.26]"
12,819,5,1997,3,"(0.51, 0.76]"
13,835,8,1997,3,"(0.76, 1.01]"
14,1163,2,1997,3,"(0.26, 0.51]"
15,1189,1,1997,3,"(-0.24, 0.01]"
16,2880,24,1997,3,"(1.26, 1.51]"
17,2906,1,1997,3,"(-0.24, 0.01]"
18,2922,1,1997,3,"(-0.24, 0.01]"
19,2955,1,1997,3,"(-0.24, 0.01]"
20,2971,9,1997,3,"(0.76, 1.01]"
21,3060,19,1997,3,"(1.26, 1.51]"
22,3094,8,1997,3,"(0.76, 1.01]"
23,3102,25,1997,3,"(1.26, 1.51]"
24,3110,13,1997,3,"(1.01, 1.26]"
25,3128,13,1997,3,"(1.01, 1.26]"
26,3136,7,1997,3,"(0.76, 1.01]"
27,3169,2,1997,3,"(0.26, 0.51]"
28,3219,3,1997,3,"(0.26, 0.51]"
29,3441,14,1997,3,"(1.01, 1.26]"
30,3524,5,1997,3,"(0.51, 0.76]"
31,3706,553,1997,3,"(2.51, 2.76]"
32,3797,2,1997,3,"(0.26, 0.51]"
33,4035,1,1997,3,"(-0.24, 0.01]"
34,4092,42,1997,3,"(1.51, 1.76]"
35,4159,6,1997,3,"(0.76, 1.01]"
36,4266,64,1997,3,"(1.76, 2.01]"
37,4381,1,1997,3,"(-0.24, 0.01]"
38,4589,7,1997,3,"(0.76, 1.01]"
39,4597,1,1997,3,"(-0.24, 0.01]"
40,4654,46,1997,3,"(1.51, 1.76]"
41,4704,1,1997,3,"(-0.24, 0.01]"
42,4829,1,1997,3,"(-0.24, 0.01]"
43,4837,3,1997,3,"(0.26, 0.51]"
44,4852,16,1997,3,"(1.01, 1.26]"
45,4878,65,1997,3,"(1.76, 2.01]"
46,4902,97,1997,3,"(1.76, 2.01]"
47,4910,48,1997,3,"(1.51, 1.76]"
48,4928,11,1997,3,"(1.01, 1.26]"
49,5685,1,1997,3,"(-0.24, 0.01]"
50,5735,5,1997,3,"(0.51, 0.76]"
51,5883,3,1997,3,"(0.26, 0.51]"
52,5958,10,1997,3,"(0.76, 1.01]"
53,7566,7,1997,3,"(0.76, 1.01]"
54,8036,1,1997,3,"(-0.24, 0.01]"
55,8101,15,1997,3,"(1.01, 1.26]"
56,8135,14,1997,3,"(1.01, 1.26]"
57,8218,2,1997,3,"(0.26, 0.51]"
58,8259,11,1997,3,"(1.01, 1.26]"
59,8317,17,1997,3,"(1.01, 1.26]"
60,8333,7,1997,3,"(0.76, 1.01]"
61,8382,7,1997,3,"(0.76, 1.01]"
62,8564,1,1997,3,"(-0.24, 0.01]"
63,8572,5,1997,3,"(0.51, 0.76]"
64,8622,9,1997,3,"(0.76, 1.01]"
65,8861,1,1997,3,"(-0.24, 0.01]"
66,8994,1,1997,3,"(-0.24, 0.01]"
67,9042,4,1997,3,"(0.51, 0.76]"
68,9059,63,1997,3,"(1.76, 2.01]"
69,9091,10,1997,3,"(0.76, 1.01]"
70,9182,1,1997,3,"(-0.24, 0.01]"
71,9216,5,1997,3,"(0.51, 0.76]"
72,9232,15,1997,3,"(1.01, 1.26]"
73,9323,5,1997,3,"(0.51, 0.76]"
74,9331,7,1997,3,"(0.76, 1.01]"
75,9356,1,1997,3,"(-0.24, 0.01]"
76,9430,3,1997,3,"(0.26, 0.51]"
77,9521,11,1997,3,"(1.01, 1.26]"
78,9604,1,1997,3,"(-0.24, 0.01]"
79,9638,19,1997,3,"(1.26, 1.51]"
