,ID,ID_degree,center_year,window,bin
75054,552138075,2,2001,3,"(0.26, 0.51]"
75055,552139008,22,2001,3,"(1.26, 1.51]"
75056,552139040,42,2001,3,"(1.51, 1.76]"
75057,552139305,205,2001,3,"(2.26, 2.51]"
75058,552139677,38,2001,3,"(1.51, 1.76]"
75059,552140659,58,2001,3,"(1.76, 2.01]"
75060,552142127,181,2001,3,"(2.01, 2.26]"
75061,552142226,11,2001,3,"(1.01, 1.26]"
75062,552142275,2,2001,3,"(0.26, 0.51]"
75063,552142374,25,2001,3,"(1.26, 1.51]"
75064,552142457,28,2001,3,"(1.26, 1.51]"
75065,552142713,7,2001,3,"(0.76, 1.01]"
75066,552143117,41,2001,3,"(1.51, 1.76]"
75067,552143612,197,2001,3,"(2.26, 2.51]"
75068,552144123,242,2001,3,"(2.26, 2.51]"
75069,552144503,131,2001,3,"(2.01, 2.26]"
75070,552144644,40,2001,3,"(1.51, 1.76]"
75071,552145484,9,2001,3,"(0.76, 1.01]"
75072,552146425,42,2001,3,"(1.51, 1.76]"
75073,552146573,52,2001,3,"(1.51, 1.76]"
75074,552146714,113,2001,3,"(2.01, 2.26]"
75075,552146854,63,2001,3,"(1.76, 2.01]"
75076,552148777,2,2001,3,"(0.26, 0.51]"
75077,552149577,854,2001,3,"(2.76, 3.01]"
75078,552149759,24,2001,3,"(1.26, 1.51]"
75079,552150146,32,2001,3,"(1.26, 1.51]"
75080,552150682,41,2001,3,"(1.51, 1.76]"
75081,552150724,113,2001,3,"(2.01, 2.26]"
75082,552150856,334,2001,3,"(2.51, 2.76]"
75083,552151755,13,2001,3,"(1.01, 1.26]"
75084,552152340,6,2001,3,"(0.76, 1.01]"
75085,552152431,57,2001,3,"(1.51, 1.76]"
75086,552152738,12,2001,3,"(1.01, 1.26]"
75087,552152761,11,2001,3,"(1.01, 1.26]"
75088,552153199,11,2001,3,"(1.01, 1.26]"
75089,552153363,39,2001,3,"(1.51, 1.76]"
75090,552620700,416,2001,3,"(2.51, 2.76]"
75091,552620726,1,2001,3,"(-0.24, 0.01]"
