,ID,ID_degree,center_year,window,bin
0,140,1,2003,1,"(-0.24, 0.01]"
1,207,2,2003,1,"(0.26, 0.51]"
2,215,15,2003,1,"(1.01, 1.26]"
3,256,6,2003,1,"(0.76, 1.01]"
4,314,3,2003,1,"(0.26, 0.51]"
5,330,18,2003,1,"(1.01, 1.26]"
6,355,3,2003,1,"(0.26, 0.51]"
7,413,94,2003,1,"(1.76, 2.01]"
8,488,2,2003,1,"(0.26, 0.51]"
9,546,25,2003,1,"(1.26, 1.51]"
10,553,3,2003,1,"(0.26, 0.51]"
11,561,2,2003,1,"(0.26, 0.51]"
12,678,86,2003,1,"(1.76, 2.01]"
13,694,51,2003,1,"(1.51, 1.76]"
14,702,1,2003,1,"(-0.24, 0.01]"
15,710,1,2003,1,"(-0.24, 0.01]"
16,728,3,2003,1,"(0.26, 0.51]"
17,769,2,2003,1,"(0.26, 0.51]"
18,785,1,2003,1,"(-0.24, 0.01]"
19,793,259,2003,1,"(2.26, 2.51]"
20,801,2,2003,1,"(0.26, 0.51]"
21,819,14,2003,1,"(1.01, 1.26]"
22,835,15,2003,1,"(1.01, 1.26]"
23,868,2,2003,1,"(0.26, 0.51]"
24,884,29,2003,1,"(1.26, 1.51]"
25,991,1,2003,1,"(-0.24, 0.01]"
26,1163,3,2003,1,"(0.26, 0.51]"
27,1189,1,2003,1,"(-0.24, 0.01]"
28,1445,4,2003,1,"(0.51, 0.76]"
29,1668,2,2003,1,"(0.26, 0.51]"
30,2070,1,2003,1,"(-0.24, 0.01]"
31,2641,3,2003,1,"(0.26, 0.51]"
32,2823,1,2003,1,"(-0.24, 0.01]"
33,2880,37,2003,1,"(1.51, 1.76]"
34,2906,3,2003,1,"(0.26, 0.51]"
35,2922,1,2003,1,"(-0.24, 0.01]"
36,2955,1,2003,1,"(-0.24, 0.01]"
37,2971,25,2003,1,"(1.26, 1.51]"
38,2989,1,2003,1,"(-0.24, 0.01]"
39,2997,1,2003,1,"(-0.24, 0.01]"
40,3011,2,2003,1,"(0.26, 0.51]"
41,3029,1,2003,1,"(-0.24, 0.01]"
42,3060,113,2003,1,"(2.01, 2.26]"
43,3094,18,2003,1,"(1.01, 1.26]"
44,3102,38,2003,1,"(1.51, 1.76]"
45,3110,14,2003,1,"(1.01, 1.26]"
46,3128,21,2003,1,"(1.26, 1.51]"
47,3136,9,2003,1,"(0.76, 1.01]"
48,3144,16,2003,1,"(1.01, 1.26]"
49,3151,1,2003,1,"(-0.24, 0.01]"
50,3169,6,2003,1,"(0.76, 1.01]"
51,3193,3,2003,1,"(0.26, 0.51]"
52,3219,9,2003,1,"(0.76, 1.01]"
53,3441,23,2003,1,"(1.26, 1.51]"
54,3516,3,2003,1,"(0.26, 0.51]"
55,3524,21,2003,1,"(1.26, 1.51]"
56,3698,4,2003,1,"(0.51, 0.76]"
57,3706,1502,2003,1,"(3.01, 3.26]"
58,3714,4,2003,1,"(0.51, 0.76]"
59,3771,2,2003,1,"(0.26, 0.51]"
60,3797,2,2003,1,"(0.26, 0.51]"
61,3854,1,2003,1,"(-0.24, 0.01]"
62,4035,3,2003,1,"(0.26, 0.51]"
63,4043,4,2003,1,"(0.51, 0.76]"
64,4092,577,2003,1,"(2.76, 3.01]"
65,4100,7,2003,1,"(0.76, 1.01]"
