,ID,ID_degree,center_year,window,bin
0,140,1,1999,3,"(-0.24, 0.01]"
1,215,11,1999,3,"(1.01, 1.26]"
2,314,2,1999,3,"(0.26, 0.51]"
3,330,16,1999,3,"(1.01, 1.26]"
4,355,3,1999,3,"(0.26, 0.51]"
5,413,53,1999,3,"(1.51, 1.76]"
6,488,2,1999,3,"(0.26, 0.51]"
7,546,18,1999,3,"(1.01, 1.26]"
8,561,2,1999,3,"(0.26, 0.51]"
9,678,56,1999,3,"(1.51, 1.76]"
10,694,37,1999,3,"(1.51, 1.76]"
11,710,1,1999,3,"(-0.24, 0.01]"
12,728,3,1999,3,"(0.26, 0.51]"
13,769,2,1999,3,"(0.26, 0.51]"
14,793,225,1999,3,"(2.26, 2.51]"
15,801,1,1999,3,"(-0.24, 0.01]"
16,819,11,1999,3,"(1.01, 1.26]"
17,835,10,1999,3,"(0.76, 1.01]"
18,884,22,1999,3,"(1.26, 1.51]"
19,1163,3,1999,3,"(0.26, 0.51]"
20,1189,1,1999,3,"(-0.24, 0.01]"
21,1445,4,1999,3,"(0.51, 0.76]"
22,1668,1,1999,3,"(-0.24, 0.01]"
23,2641,2,1999,3,"(0.26, 0.51]"
24,2880,31,1999,3,"(1.26, 1.51]"
25,2906,1,1999,3,"(-0.24, 0.01]"
26,2922,1,1999,3,"(-0.24, 0.01]"
27,2955,1,1999,3,"(-0.24, 0.01]"
28,2971,14,1999,3,"(1.01, 1.26]"
29,3029,1,1999,3,"(-0.24, 0.01]"
30,3060,95,1999,3,"(1.76, 2.01]"
31,3094,15,1999,3,"(1.01, 1.26]"
32,3102,33,1999,3,"(1.51, 1.76]"
33,3110,13,1999,3,"(1.01, 1.26]"
34,3128,18,1999,3,"(1.01, 1.26]"
35,3136,9,1999,3,"(0.76, 1.01]"
36,3144,2,1999,3,"(0.26, 0.51]"
37,3169,4,1999,3,"(0.51, 0.76]"
38,3193,2,1999,3,"(0.26, 0.51]"
39,3219,6,1999,3,"(0.76, 1.01]"
40,3441,16,1999,3,"(1.01, 1.26]"
41,3516,2,1999,3,"(0.26, 0.51]"
42,3524,19,1999,3,"(1.26, 1.51]"
43,3698,2,1999,3,"(0.26, 0.51]"
44,3706,856,1999,3,"(2.76, 3.01]"
45,3714,4,1999,3,"(0.51, 0.76]"
46,3771,1,1999,3,"(-0.24, 0.01]"
47,3797,2,1999,3,"(0.26, 0.51]"
48,3854,1,1999,3,"(-0.24, 0.01]"
49,4035,2,1999,3,"(0.26, 0.51]"
50,4043,2,1999,3,"(0.26, 0.51]"
51,4092,270,1999,3,"(2.26, 2.51]"
52,4100,2,1999,3,"(0.26, 0.51]"
53,4118,1,1999,3,"(-0.24, 0.01]"
54,4142,3,1999,3,"(0.26, 0.51]"
55,4159,6,1999,3,"(0.76, 1.01]"
56,4266,86,1999,3,"(1.76, 2.01]"
57,4365,1,1999,3,"(-0.24, 0.01]"
58,4381,5,1999,3,"(0.51, 0.76]"
59,4589,7,1999,3,"(0.76, 1.01]"
60,4597,1,1999,3,"(-0.24, 0.01]"
61,4654,89,1999,3,"(1.76, 2.01]"
62,4704,4,1999,3,"(0.51, 0.76]"
63,4811,2,1999,3,"(0.26, 0.51]"
64,4829,6,1999,3,"(0.76, 1.01]"
65,4837,4,1999,3,"(0.51, 0.76]"
66,4852,23,1999,3,"(1.26, 1.51]"
67,4878,90,1999,3,"(1.76, 2.01]"
68,4902,138,1999,3,"(2.01, 2.26]"
69,4910,55,1999,3,"(1.51, 1.76]"
70,4928,14,1999,3,"(1.01, 1.26]"
71,5404,21,1999,3,"(1.26, 1.51]"
72,5685,7,1999,3,"(0.76, 1.01]"
73,5735,10,1999,3,"(0.76, 1.01]"
74,5883,8,1999,3,"(0.76, 1.01]"
75,5958,13,1999,3,"(1.01, 1.26]"
76,7145,1,1999,3,"(-0.24, 0.01]"
77,7301,1,1999,3,"(-0.24, 0.01]"
78,7566,20,1999,3,"(1.26, 1.51]"
79,7657,5,1999,3,"(0.51, 0.76]"
80,8028,2,1999,3,"(0.26, 0.51]"
81,8036,2,1999,3,"(0.26, 0.51]"
82,8101,24,1999,3,"(1.26, 1.51]"
83,8135,15,1999,3,"(1.01, 1.26]"
84,8192,2,1999,3,"(0.26, 0.51]"
85,8218,2,1999,3,"(0.26, 0.51]"
86,8259,15,1999,3,"(1.01, 1.26]"
87,8317,27,1999,3,"(1.26, 1.51]"
88,8333,8,1999,3,"(0.76, 1.01]"
89,8382,12,1999,3,"(1.01, 1.26]"
90,8564,3,1999,3,"(0.26, 0.51]"
91,8572,7,1999,3,"(0.76, 1.01]"
92,8622,9,1999,3,"(0.76, 1.01]"
93,8705,2,1999,3,"(0.26, 0.51]"
