,ID,ID_degree,center_year,window,bin
0,215,3,1997,1,"(0.26, 0.51]"
1,330,8,1997,1,"(0.76, 1.01]"
2,413,24,1997,1,"(1.26, 1.51]"
3,488,1,1997,1,"(-0.24, 0.01]"
4,546,3,1997,1,"(0.26, 0.51]"
5,678,23,1997,1,"(1.26, 1.51]"
6,694,23,1997,1,"(1.26, 1.51]"
7,728,1,1997,1,"(-0.24, 0.01]"
8,793,155,1997,1,"(2.01, 2.26]"
9,819,5,1997,1,"(0.51, 0.76]"
10,835,8,1997,1,"(0.76, 1.01]"
11,1163,2,1997,1,"(0.26, 0.51]"
12,1189,1,1997,1,"(-0.24, 0.01]"
13,2880,21,1997,1,"(1.26, 1.51]"
14,2906,1,1997,1,"(-0.24, 0.01]"
15,2922,1,1997,1,"(-0.24, 0.01]"
16,2955,1,1997,1,"(-0.24, 0.01]"
17,2971,8,1997,1,"(0.76, 1.01]"
18,3060,15,1997,1,"(1.01, 1.26]"
19,3094,4,1997,1,"(0.51, 0.76]"
20,3102,17,1997,1,"(1.01, 1.26]"
21,3110,13,1997,1,"(1.01, 1.26]"
22,3128,7,1997,1,"(0.76, 1.01]"
23,3136,5,1997,1,"(0.51, 0.76]"
24,3219,2,1997,1,"(0.26, 0.51]"
25,3441,9,1997,1,"(0.76, 1.01]"
26,3524,3,1997,1,"(0.26, 0.51]"
27,3706,429,1997,1,"(2.51, 2.76]"
28,3797,2,1997,1,"(0.26, 0.51]"
29,4092,19,1997,1,"(1.26, 1.51]"
30,4159,5,1997,1,"(0.51, 0.76]"
31,4266,46,1997,1,"(1.51, 1.76]"
32,4589,7,1997,1,"(0.76, 1.01]"
33,4654,32,1997,1,"(1.26, 1.51]"
34,4704,1,1997,1,"(-0.24, 0.01]"
35,4837,2,1997,1,"(0.26, 0.51]"
36,4852,16,1997,1,"(1.01, 1.26]"
37,4878,54,1997,1,"(1.51, 1.76]"
38,4902,69,1997,1,"(1.76, 2.01]"
39,4910,38,1997,1,"(1.51, 1.76]"
40,4928,8,1997,1,"(0.76, 1.01]"
41,5735,5,1997,1,"(0.51, 0.76]"
42,5883,2,1997,1,"(0.26, 0.51]"
43,5958,9,1997,1,"(0.76, 1.01]"
44,7566,1,1997,1,"(-0.24, 0.01]"
45,8036,1,1997,1,"(-0.24, 0.01]"
46,8101,8,1997,1,"(0.76, 1.01]"
47,8135,11,1997,1,"(1.01, 1.26]"
48,8218,2,1997,1,"(0.26, 0.51]"
49,8317,13,1997,1,"(1.01, 1.26]"
50,8333,3,1997,1,"(0.26, 0.51]"
51,8382,4,1997,1,"(0.51, 0.76]"
52,8572,3,1997,1,"(0.26, 0.51]"
53,8622,3,1997,1,"(0.26, 0.51]"
54,9042,3,1997,1,"(0.26, 0.51]"
55,9059,35,1997,1,"(1.51, 1.76]"
56,9091,8,1997,1,"(0.76, 1.01]"
57,9182,1,1997,1,"(-0.24, 0.01]"
58,9216,5,1997,1,"(0.51, 0.76]"
59,9232,14,1997,1,"(1.01, 1.26]"
60,9323,1,1997,1,"(-0.24, 0.01]"
61,9331,4,1997,1,"(0.51, 0.76]"
62,9356,1,1997,1,"(-0.24, 0.01]"
63,9430,3,1997,1,"(0.26, 0.51]"
64,9521,2,1997,1,"(0.26, 0.51]"
65,9638,16,1997,1,"(1.01, 1.26]"
66,9653,3,1997,1,"(0.26, 0.51]"
67,9703,6,1997,1,"(0.76, 1.01]"
68,9711,2,1997,1,"(0.26, 0.51]"
69,9729,18,1997,1,"(1.01, 1.26]"
70,9786,37,1997,1,"(1.51, 1.76]"
71,9893,6,1997,1,"(0.76, 1.01]"
72,10131,4,1997,1,"(0.51, 0.76]"
73,10156,1,1997,1,"(-0.24, 0.01]"
74,10578,6,1997,1,"(0.76, 1.01]"
75,10602,4,1997,1,"(0.51, 0.76]"
76,10883,20,1997,1,"(1.26, 1.51]"
77,10933,4,1997,1,"(0.51, 0.76]"
78,10990,14,1997,1,"(1.01, 1.26]"
79,11030,1,1997,1,"(-0.24, 0.01]"
80,11154,6,1997,1,"(0.76, 1.01]"
81,11634,3,1997,1,"(0.26, 0.51]"
82,11642,2,1997,1,"(0.26, 0.51]"
83,11675,1,1997,1,"(-0.24, 0.01]"
84,11683,1,1997,1,"(-0.24, 0.01]"
85,11709,1,1997,1,"(-0.24, 0.01]"
86,12236,2,1997,1,"(0.26, 0.51]"
87,12269,1,1997,1,"(-0.24, 0.01]"
88,12277,43,1997,1,"(1.51, 1.76]"
89,12475,1,1997,1,"(-0.24, 0.01]"
90,12483,4,1997,1,"(0.51, 0.76]"
91,12533,4,1997,1,"(0.51, 0.76]"
92,12939,1,1997,1,"(-0.24, 0.01]"
93,13473,1,1997,1,"(-0.24, 0.01]"
94,13853,16,1997,1,"(1.01, 1.26]"
95,13937,2,1997,1,"(0.26, 0.51]"
96,14034,4,1997,1,"(0.51, 0.76]"
97,14042,5,1997,1,"(0.51, 0.76]"
98,14182,2,1997,1,"(0.26, 0.51]"
99,14398,10,1997,1,"(0.76, 1.01]"
100,14414,6,1997,1,"(0.76, 1.01]"
101,14471,5,1997,1,"(0.51, 0.76]"
102,14497,2,1997,1,"(0.26, 0.51]"
103,14596,1,1997,1,"(-0.24, 0.01]"
104,14703,4,1997,1,"(0.51, 0.76]"
105,14737,4,1997,1,"(0.51, 0.76]"
106,15288,4,1997,1,"(0.51, 0.76]"
107,17482,5,1997,1,"(0.51, 0.76]"
108,17607,2,1997,1,"(0.26, 0.51]"
109,18829,5,1997,1,"(0.51, 0.76]"
110,18860,1,1997,1,"(-0.24, 0.01]"
111,18993,1,1997,1,"(-0.24, 0.01]"
112,19033,3,1997,1,"(0.26, 0.51]"
113,19066,2,1997,1,"(0.26, 0.51]"
114,19074,1,1997,1,"(-0.24, 0.01]"
115,19116,3,1997,1,"(0.26, 0.51]"
116,19132,3,1997,1,"(0.26, 0.51]"
117,19207,7,1997,1,"(0.76, 1.01]"
118,19298,8,1997,1,"(0.76, 1.01]"
119,19348,1,1997,1,"(-0.24, 0.01]"
120,19413,16,1997,1,"(1.01, 1.26]"
121,19470,8,1997,1,"(0.76, 1.01]"
122,19611,2,1997,1,"(0.26, 0.51]"
123,19629,21,1997,1,"(1.26, 1.51]"
124,19660,2,1997,1,"(0.26, 0.51]"
125,20023,5,1997,1,"(0.51, 0.76]"
126,21328,2,1997,1,"(0.26, 0.51]"
127,21872,27,1997,1,"(1.26, 1.51]"
128,27135,3,1997,1,"(0.26, 0.51]"
129,30402,2,1997,1,"(0.26, 0.51]"
130,30659,9,1997,1,"(0.76, 1.01]"
131,30725,6,1997,1,"(0.76, 1.01]"
132,31236,4,1997,1,"(0.51, 0.76]"
133,31749,7,1997,1,"(0.76, 1.01]"
134,31830,6,1997,1,"(0.76, 1.01]"
135,32168,2,1997,1,"(0.26, 0.51]"
136,32671,2,1997,1,"(0.26, 0.51]"
137,32812,4,1997,1,"(0.51, 0.76]"
138,33158,1,1997,1,"(-0.24, 0.01]"
139,33810,1,1997,1,"(-0.24, 0.01]"
140,33901,12,1997,1,"(1.01, 1.26]"
141,33968,4,1997,1,"(0.51, 0.76]"
142,34016,3,1997,1,"(0.26, 0.51]"
143,35716,3,1997,1,"(0.26, 0.51]"
144,36060,7,1997,1,"(0.76, 1.01]"
145,36078,5,1997,1,"(0.51, 0.76]"
146,37068,1,1997,1,"(-0.24, 0.01]"
147,37274,14,1997,1,"(1.01, 1.26]"
148,37373,4,1997,1,"(0.51, 0.76]"
149,37555,19,1997,1,"(1.26, 1.51]"
150,37597,41,1997,1,"(1.51, 1.76]"
151,37928,1,1997,1,"(-0.24, 0.01]"
152,37936,166,1997,1,"(2.01, 2.26]"
153,38090,33,1997,1,"(1.51, 1.76]"
154,38272,1,1997,1,"(-0.24, 0.01]"
155,38397,5,1997,1,"(0.51, 0.76]"
156,38413,1,1997,1,"(-0.24, 0.01]"
157,38488,1,1997,1,"(-0.24, 0.01]"
158,38629,1,1997,1,"(-0.24, 0.01]"
159,38751,1,1997,1,"(-0.24, 0.01]"
160,38942,20,1997,1,"(1.26, 1.51]"
161,39320,11,1997,1,"(1.01, 1.26]"
162,40294,1,1997,1,"(-0.24, 0.01]"
163,40336,12,1997,1,"(1.01, 1.26]"
164,40443,2,1997,1,"(0.26, 0.51]"
165,40534,6,1997,1,"(0.76, 1.01]"
166,40617,4,1997,1,"(0.51, 0.76]"
167,40724,14,1997,1,"(1.01, 1.26]"
168,40856,3,1997,1,"(0.26, 0.51]"
169,41011,3,1997,1,"(0.26, 0.51]"
170,41615,7,1997,1,"(0.76, 1.01]"
171,41946,1,1997,1,"(-0.24, 0.01]"
172,42019,876,1997,1,"(2.76, 3.01]"
173,42357,3,1997,1,"(0.26, 0.51]"
