,ID,ID_degree,center_year,window,bin
0,140,1,1999,1,"(-0.24, 0.01]"
1,215,8,1999,1,"(0.76, 1.01]"
2,314,2,1999,1,"(0.26, 0.51]"
3,330,10,1999,1,"(0.76, 1.01]"
4,355,3,1999,1,"(0.26, 0.51]"
5,413,41,1999,1,"(1.51, 1.76]"
6,488,2,1999,1,"(0.26, 0.51]"
7,546,10,1999,1,"(0.76, 1.01]"
8,561,1,1999,1,"(-0.24, 0.01]"
9,678,50,1999,1,"(1.51, 1.76]"
10,694,31,1999,1,"(1.26, 1.51]"
11,710,1,1999,1,"(-0.24, 0.01]"
12,728,3,1999,1,"(0.26, 0.51]"
13,793,207,1999,1,"(2.26, 2.51]"
14,819,7,1999,1,"(0.76, 1.01]"
15,835,9,1999,1,"(0.76, 1.01]"
16,884,3,1999,1,"(0.26, 0.51]"
17,1163,3,1999,1,"(0.26, 0.51]"
18,1189,1,1999,1,"(-0.24, 0.01]"
19,1445,4,1999,1,"(0.51, 0.76]"
20,2641,1,1999,1,"(-0.24, 0.01]"
21,2880,27,1999,1,"(1.26, 1.51]"
22,2906,1,1999,1,"(-0.24, 0.01]"
23,2922,1,1999,1,"(-0.24, 0.01]"
24,2955,1,1999,1,"(-0.24, 0.01]"
25,2971,10,1999,1,"(0.76, 1.01]"
26,3029,1,1999,1,"(-0.24, 0.01]"
27,3060,23,1999,1,"(1.26, 1.51]"
28,3094,11,1999,1,"(1.01, 1.26]"
29,3102,29,1999,1,"(1.26, 1.51]"
30,3110,13,1999,1,"(1.01, 1.26]"
31,3128,17,1999,1,"(1.01, 1.26]"
32,3136,8,1999,1,"(0.76, 1.01]"
33,3169,3,1999,1,"(0.26, 0.51]"
34,3219,5,1999,1,"(0.51, 0.76]"
35,3441,16,1999,1,"(1.01, 1.26]"
36,3524,14,1999,1,"(1.01, 1.26]"
37,3698,2,1999,1,"(0.26, 0.51]"
38,3706,661,1999,1,"(2.76, 3.01]"
39,3714,1,1999,1,"(-0.24, 0.01]"
40,3771,1,1999,1,"(-0.24, 0.01]"
41,3797,2,1999,1,"(0.26, 0.51]"
42,4035,1,1999,1,"(-0.24, 0.01]"
43,4043,2,1999,1,"(0.26, 0.51]"
44,4092,119,1999,1,"(2.01, 2.26]"
45,4100,1,1999,1,"(-0.24, 0.01]"
46,4118,1,1999,1,"(-0.24, 0.01]"
47,4142,1,1999,1,"(-0.24, 0.01]"
48,4159,6,1999,1,"(0.76, 1.01]"
49,4266,77,1999,1,"(1.76, 2.01]"
50,4381,5,1999,1,"(0.51, 0.76]"
51,4589,7,1999,1,"(0.76, 1.01]"
52,4597,1,1999,1,"(-0.24, 0.01]"
53,4654,67,1999,1,"(1.76, 2.01]"
54,4704,4,1999,1,"(0.51, 0.76]"
55,4811,1,1999,1,"(-0.24, 0.01]"
56,4829,3,1999,1,"(0.26, 0.51]"
57,4837,3,1999,1,"(0.26, 0.51]"
58,4852,19,1999,1,"(1.26, 1.51]"
59,4878,73,1999,1,"(1.76, 2.01]"
60,4902,126,1999,1,"(2.01, 2.26]"
61,4910,52,1999,1,"(1.51, 1.76]"
62,4928,12,1999,1,"(1.01, 1.26]"
63,5685,3,1999,1,"(0.26, 0.51]"
64,5735,8,1999,1,"(0.76, 1.01]"
65,5883,3,1999,1,"(0.26, 0.51]"
66,5958,10,1999,1,"(0.76, 1.01]"
67,7566,17,1999,1,"(1.01, 1.26]"
68,7657,3,1999,1,"(0.26, 0.51]"
69,8036,1,1999,1,"(-0.24, 0.01]"
70,8101,19,1999,1,"(1.26, 1.51]"
71,8135,15,1999,1,"(1.01, 1.26]"
72,8218,2,1999,1,"(0.26, 0.51]"
73,8259,11,1999,1,"(1.01, 1.26]"
74,8317,20,1999,1,"(1.26, 1.51]"
75,8333,7,1999,1,"(0.76, 1.01]"
76,8382,8,1999,1,"(0.76, 1.01]"
77,8564,1,1999,1,"(-0.24, 0.01]"
78,8572,7,1999,1,"(0.76, 1.01]"
79,8622,9,1999,1,"(0.76, 1.01]"
80,8705,1,1999,1,"(-0.24, 0.01]"
81,8861,3,1999,1,"(0.26, 0.51]"
82,8911,1,1999,1,"(-0.24, 0.01]"
83,8994,2,1999,1,"(0.26, 0.51]"
84,9042,4,1999,1,"(0.51, 0.76]"
85,9059,91,1999,1,"(1.76, 2.01]"
86,9091,10,1999,1,"(0.76, 1.01]"
87,9182,2,1999,1,"(0.26, 0.51]"
88,9216,7,1999,1,"(0.76, 1.01]"
89,9232,15,1999,1,"(1.01, 1.26]"
90,9240,2,1999,1,"(0.26, 0.51]"
91,9257,3,1999,1,"(0.26, 0.51]"
92,9323,19,1999,1,"(1.26, 1.51]"
93,9331,11,1999,1,"(1.01, 1.26]"
94,9356,9,1999,1,"(0.76, 1.01]"
95,9430,3,1999,1,"(0.26, 0.51]"
96,9521,15,1999,1,"(1.01, 1.26]"
97,9554,1,1999,1,"(-0.24, 0.01]"
98,9604,1,1999,1,"(-0.24, 0.01]"
99,9638,23,1999,1,"(1.26, 1.51]"
100,9653,7,1999,1,"(0.76, 1.01]"
101,9695,15,1999,1,"(1.01, 1.26]"
102,9703,23,1999,1,"(1.26, 1.51]"
103,9711,4,1999,1,"(0.51, 0.76]"
104,9729,30,1999,1,"(1.26, 1.51]"
105,9737,4,1999,1,"(0.51, 0.76]"
106,9786,62,1999,1,"(1.76, 2.01]"
107,9893,22,1999,1,"(1.26, 1.51]"
108,10131,7,1999,1,"(0.76, 1.01]"
109,10156,2,1999,1,"(0.26, 0.51]"
110,10172,7,1999,1,"(0.76, 1.01]"
