PYOD,YEAR,VART,ID
AD,1997,283153579,4204
AD,1998,305764758,4282
AE,1997,984986518,4477
AE,1998,1212073790,4596
AF,1997,17153582,71
AF,1998,12263807,68
AG,1997,22880624,124
AG,1998,2771294,118
AI,1997,1486307,66
AI,1998,4445669,83
AL,1997,14608769,203
AL,1998,17048242,205
AM,1997,25643177,289
AM,1998,22096251,319
AN,1997,39753357,474
AN,1998,25620523,501
AO,1997,266785966,994
AO,1998,206810352,1141
AR,1997,1613214757,3696
AR,1998,1756176156,3919
AT,1997,4621213578,13429
AT,1998,5253800788,14299
AU,1997,1926635956,5497
AU,1998,1810684004,5829
AW,1997,14953951,92
AW,1998,6379066,110
AZ,1997,25905626,170
AZ,1998,36035597,276
BA,1997,25658403,283
BA,1998,36744843,383
BB,1997,7589142,219
BB,1998,9417059,241
BD,1997,402708589,936
BD,1998,477935106,936
BF,1997,157647707,2353
BF,1998,188318630,2425
BG,1997,315786676,1630
BG,1998,394854262,1905
BH,1997,170739677,1179
BH,1998,150185216,1097
BI,1997,8903692,172
BI,1998,12412537,219
BJ,1997,159437941,2968
BJ,1998,189622765,3219
BM,1997,24527678,238
BM,1998,45248000,269
BN,1997,32136419,163
BN,1998,146275089,201
BO,1997,63664055,350
BO,1998,51826438,374
BR,1997,3173658787,5849
BR,1998,3634805922,6071
BS,1997,59459683,298
BS,1998,48566315,291
BT,1997,384783,13
BT,1998,2146995,10
BW,1997,16916650,81
BW,1998,15388868,85
BY,1997,88672914,645
BY,1998,89410843,705
BZ,1997,9216833,49
BZ,1998,9770655,59
CA,1997,3638360099,11299
CA,1998,3515700143,12094
CD,1997,53338292,835
CD,1998,46059132,710
CF,1997,49506022,984
CF,1998,53540227,1066
CG,1997,210868695,2808
CG,1998,271607167,3330
CH,1997,14463095660,42951
CH,1998,15637176716,44346
CI,1997,1388397155,7425
CI,1998,1578617466,7761
CL,1997,958553521,2612
CL,1998,1136924864,2695
CM,1997,686757709,5989
CM,1998,780013172,6314
CN,1997,8955145161,12775
CN,1998,9519397259,13510
CO,1997,680203050,1713
CO,1998,659465218,1742
CR,1997,118974303,612
CR,1998,138372096,634
CU,1997,248030062,514
CU,1998,287069042,534
CV,1997,21948752,231
CV,1998,9874411,236
CY,1997,162859873,2066
CY,1998,180340974,2157
CZ,1997,1666790694,6375
CZ,1998,1906741067,7100
DE,1997,80990566354,56969
DE,1998,89315244951,58334
DJ,1997,48600704,1315
DJ,1998,52717379,1266
DK,1997,4304822600,15460
DK,1998,4457528397,15819
DM,1997,5301745,137
DM,1998,8754260,137
DO,1997,110323517,606
DO,1998,124280548,630
DZ,1997,3963021986,10481
DZ,1998,3781387268,10213
EC,1997,213998885,878
EC,1998,181610514,928
EE,1997,93978670,973
EE,1998,117864768,1160
EG,1997,1484253105,4135
EG,1998,1571370948,4342
ER,1997,12703999,80
ER,1998,8465699,72
ES,1997,36935409367,43341
ES,1998,42594643192,45179
ET,1997,56633049,481
ET,1998,67305905,496
FI,1997,3013660959,7563
FI,1998,3464934702,7796
FJ,1997,4104211,92
FJ,1998,5916753,94
FK,1997,244258,9
FK,1998,584697,7
FM,1997,46932,6
FM,1998,48416,4
FO,1997,23190975,64
FO,1998,33725381,76
FR,1997,2806365370,12736
FR,1998,3347850402,12856
GA,1997,602081059,5668
GA,1998,664543296,5675
GB,1997,46668397189,40506
GB,1998,49333042542,41689
GD,1997,2060237,62
GD,1998,2811676,77
GE,1997,25876512,213
GE,1998,34188930,326
GF,1997,1121844,14
GF,1998,180427,9
GH,1997,245608753,923
GH,1998,175410895,910
GI,1997,17248929,223
GI,1998,18536809,273
GL,1997,8980578,42
GL,1998,6897504,44
GM,1997,18183420,236
GM,1998,22499104,262
GN,1997,190904294,1829
GN,1998,202514635,1928
GP,1997,992222,23
GP,1998,2010988,14
GQ,1997,31523989,236
GQ,1998,68386641,271
GR,1997,2599834994,8586
GR,1998,2656970982,9030
GT,1997,79618797,561
GT,1998,77455692,586
GW,1997,7517553,252
GW,1998,3481206,161
GY,1997,16128236,91
GY,1998,17503632,105
HK,1997,3228840378,9859
HK,1998,3510874382,9085
HN,1997,39221327,290
HN,1998,65421939,304
HR,1997,275334277,1603
HR,1998,374709024,1739
HT,1997,41418000,801
HT,1998,36635245,754
HU,1997,1570631314,4880
HU,1998,2021446003,5389
ID,1997,2254251960,4674
ID,1998,1398368092,4241
IE,1997,5459032795,9429
IE,1998,6921007071,10047
IL,1997,1619025110,8181
IL,1998,1787949248,8325
IN,1997,1708002529,6406
IN,1998,1755982531,6856
IO,1997,45813,3
IO,1998,107534,3
IQ,1997,684182934,72
IQ,1998,931768464,153
IR,1997,1483220406,1509
IR,1998,1226595354,1541
IS,1997,167098228,1274
IS,1998,213239789,1414
IT,1997,47522558623,55978
IT,1998,51331790128,57568
JM,1997,177767621,251
JM,1998,58779046,250
JO,1997,145578071,1348
JO,1998,137168052,1387
JP,1997,12384864518,16360
JP,1998,12854855390,16318
KE,1997,177005122,1015
KE,1998,165912892,1022
KG,1997,8118582,78
KG,1998,11027317,107
KH,1997,52552661,511
KH,1998,54074247,439
KI,1997,137507,8
KI,1998,30581,6
KM,1997,23251714,797
KM,1998,23918767,824
KN,1997,1928591,59
KN,1998,1540729,53
KP,1997,37487632,312
