CPA ID 6,CPA label 6,CPA ID 4,CPA ID 3,CPA ID 2,CPA label 4,CPA label 3,CPA label 2,CPA ID 1
103915,"Beans, preserved otherwise than by vinegar or acetic acid, except prepared vegetable dishes",1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
103916,"Peas, preserved otherwise than by vinegar or acetic acid, except prepared vegetable dishes",1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
103917,"Other vegetables (except potatoes), preserved otherwise than by vinegar or acetic acid, except prepared vegetable dishes",1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
103918,"Vegetables (except potatoes), fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid",1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
103921,"Fruit and nuts, uncooked or cooked, frozen",1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
103922,"Jams, fruit jellies and fruit or nut puree and pastes",1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
103923,"Nuts, groundnuts, roasted, salted or otherwise prepared",1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
103924,"Fruit and nuts, provisionally preserved, not for immediate consumption",1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
103925,Other prepared or preserved fruits,1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
103930,"Vegetable materials and vegetable waste, vegetable residues and by-products",1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
103991,Cooking and other preparation services for the preservation of fruit and vegetables,1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
103999,Sub-contracted operations as part of manufacturing of other processed and preserved fruit and vegetables,1039,103,10,Other processed and preserved fruit and vegetables,Processed and preserved fruit and vegetables,Food products,C
104111,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104112,"Fats and oils and their fractions, of fish and marine mammals",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104119,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104121,"Soya-bean oil, crude",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104122,"Groundnut oil, crude",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104123,"Olive oil, crude",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104124,"Sunflower-seed oil, crude",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104125,"Cotton-seed oil, crude",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104126,"Rape, colza and mustard oil, crude",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104127,"Palm oil, crude",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104128,"Coconut oil, crude",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104129,"Other vegetable oils, crude",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104130,Cotton linters,1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104141,"Oil-cake and other solid residues, of vegetable fats or oils",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104142,"Flours and meals of oil seeds or oleaginous fruits, except those of mustard",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104151,"Soya-bean oil and its fractions, refined but not chemically modified",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104152,"Groundnut oil and its fractions, refined but not chemically modified",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104153,"Olive oil and its fractions, refined but not chemically modified",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104154,"Sunflower-seed oil and its fractions, refined but not chemically modified",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104155,"Cotton-seed oil and its fractions, refined but not chemically modified",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104156,"Rape, colza and mustard oil and their fractions, refined but not chemically modified",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104157,"Palm oil and its fractions, refined but not chemically modified",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104158,"Coconut oil and its fractions, refined but not chemically modified",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104159,"Other oils and their fractions, refined but not chemically modified; fixed vegetable fats and other vegetable oils (except maize oil) and their fractions n.e.c. refined but not chemically modified",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104160,"Animal or vegetable fats and oils and their fractions, hydrogenated, esterified, but not further prepared",1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104171,Vegetable waxes (excluding triglycerides),1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104172,Degras; residues resulting from treatment of fatty substances or animal or vegetable waxes,1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104199,Sub-contracted operations as part of manufacturing of oils and fats,1041,104,10,Oils and fats,Vegetable and animal oils and fats,Food products,C
104210,Margarine and similar edible fats,1042,104,10,Margarine and similar edible fats,Vegetable and animal oils and fats,Food products,C
104299,Sub-contracted operations as part of manufacturing of margarine and similar edible fats,1042,104,10,Margarine and similar edible fats,Vegetable and animal oils and fats,Food products,C
105111,Processed liquid milk,1051,105,10,Dairy and cheese products,Dairy products,Food products,C
