PYOD,YEAR,ID,VART
LB,1997,5884,760077557
LB,1998,6017,681469078
LC,1997,245,6172977
LC,1998,264,7005529
LI,1997,219,47801804
LI,1998,237,68120725
LK,1997,1259,196820879
LK,1998,1334,195383936
LR,1997,131,158492010
LR,1998,197,737642189
LS,1997,39,3894641
LS,1998,18,733398
LT,1997,1605,267860025
LT,1998,1894,321131826
LV,1997,1045,109478553
LV,1998,1241,133539133
LY,1997,526,744950706
LY,1998,530,565634300
MA,1997,13512,4355669287
MA,1998,13842,4810783030
MD,1997,257,39686853
MD,1998,311,41809447
MG,1997,4647,464566642
MG,1998,5058,563693680
MH,1997,5,63550
MH,1998,6,200531
MK,1997,487,52756060
MK,1998,527,71407856
ML,1997,2675,168855920
ML,1998,2706,185242814
MM,1997,290,62455285
MM,1998,333,57980835
MN,1997,64,8254839
MN,1998,74,11478699
MO,1997,611,175420698
MO,1998,596,206163408
MP,1997,32,2740147
MP,1998,21,437438
MQ,1997,23,16953169
MQ,1998,12,5205271
MR,1997,1480,206148270
MR,1998,1422,212804507
MS,1997,12,339164
MS,1998,21,319707
MT,1997,1389,557317938
MT,1998,1527,611204330
MU,1997,3812,626276306
MU,1998,3908,530017735
MV,1997,94,2024195
MV,1998,101,3120029
MW,1997,84,12162019
MW,1998,82,14261581
MX,1997,3897,1424713027
MX,1998,4243,1655377866
MY,1997,4330,2397783371
MY,1998,3890,2054760040
MZ,1997,175,18066360
MZ,1998,191,19935660
NC,1997,7254,490898568
NC,1998,7431,459973823
NE,1997,1485,93473219
NE,1998,1597,226440898
NG,1997,1304,1040859252
NG,1998,1443,1177300165
NI,1997,143,25030244
NI,1998,160,27105063
NL,1997,38097,24350259647
NL,1998,39197,26023767525
NO,1997,6795,5751727748
NO,1998,7126,4885631127
NP,1997,372,15392715
NP,1998,404,23979687
NR,1997,1,1524
NR,1998,3,5775
NZ,1997,2243,350670173
NZ,1998,2403,370360694
OM,1997,897,126893368
OM,1998,935,192029426
PA,1997,646,182612235
PA,1998,726,153354157
PE,1997,1299,246867307
PE,1998,1214,275078236
PF,1997,5826,340889451
PF,1998,6233,370907380
PG,1997,86,9499162
PG,1998,92,7771011
PH,1997,2717,1861702798
PH,1998,2695,1044364048
PK,1997,2335,523596079
PK,1998,2343,511825630
PL,1997,9357,3191205147
PL,1998,10853,3729615620
PM,1997,1274,19831258
PM,1998,1254,22409432
PN,1997,1,6708
PT,1997,18835,6404624061
PT,1998,19728,7053141896
PW,1997,7,253395
PW,1998,2,5028
PY,1997,416,47875226
PY,1998,422,41825921
QA,1997,1278,454559136
QA,1998,1367,351551676
QQ,1997,804,6465497
QQ,1998,954,12315041
QU,1997,1358,995305039
QU,1998,1403,913650434
QW,1998,1,10226729
RE,1997,16,160522
RE,1998,20,207675
RO,1997,3331,1008026137
RO,1998,3815,1247174814
RU,1997,5176,5358098955
RU,1998,5194,4205118227
RW,1997,303,12272805
RW,1998,315,16785769
SA,1997,4634,3656361060
SA,1998,4653,2885766380
SB,1997,16,277214
SB,1998,11,846281
SC,1997,439,52952400
SC,1998,434,47385065
SD,1997,375,85526695
SD,1998,423,196004150
SE,1997,11837,7336708224
SE,1998,12425,7767381535
SG,1997,5977,4388526551
SG,1998,5419,3627259084
SH,1997,8,1372454
SH,1998,4,116541
SI,1997,2767,1385210986
SI,1998,2912,1873499256
SK,1997,2224,551317325
SK,1998,2349,745512752
SL,1997,144,9140187
SL,1998,88,6633975
SM,1997,347,35708623
SM,1998,337,25654826
SN,1997,5803,551296705
SN,1998,6231,625286473
SO,1997,23,4443051
SO,1998,19,4475042
SR,1997,140,45275911
SR,1998,157,60553145
ST,1997,166,2201901
ST,1998,141,2360134
SV,1997,267,165008532
SV,1998,306,216980879
SY,1997,1573,644396173
SY,1998,1522,584902859
SZ,1997,66,43198118
SZ,1998,63,44293225
TC,1997,45,770370
TC,1998,32,651025
TD,1997,939,50777870
TD,1998,940,60088669
TG,1997,2785,123032028
TG,1998,2958,118647870
TH,1997,6003,2175769862
TH,1998,5607,2832870506
TJ,1997,48,25002441
TJ,1998,52,16344031
TM,1997,114,39611742
TM,1998,133,43647899
TN,1997,12265,3099878008
TN,1998,12753,3488189788
TO,1997,5,51311
TO,1998,8,28653
TR,1997,8713,3709283074
TR,1998,9179,3998785823
TT,1997,455,183559495
TT,1998,438,182256070
TV,1997,5,16086
TV,1998,4,8615
TW,1997,11292,4214808239
TW,1998,10920,4094949754
TZ,1997,338,35771977
TZ,1998,339,29548997
UA,1997,1511,402499156
UA,1998,1619,438859555
UG,1997,234,61720380
UG,1998,261,55714750
US,1997,37084,37245586377
US,1998,38321,42771017007
UY,1997,1226,186254008
UY,1998,1271,194721370
