q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
0,0,0.02,202683,14395774287.387592,14663944406.81291,14798333137.997204,14940424508.818592,14581236856.494959,14498718855.830303,14517211779.003971,14715821415.106016,15005878230.176199,15139183827.039299,15272200261.74639,15581552250.92292,15461818626.752783,15641160105.849855,15054222959.878498,15144271931.981018,15843133092.960093,Q
1,0,0.02,4799,13211690494.172712,13710562937.831505,14055686094.65807,14383257265.641861,14891794529.473522,15117090141.30139,15216108287.592663,15291103679.301327,15479976948.62563,15724008113.589304,15641772783.37765,15440014385.298336,15606053854.724018,15411560779.074587,15475472620.498192,15332137771.67988,15196495825.396812,Q
2,0,0.02,1625,12432623426.703398,12950811070.200094,13467652744.259245,13824927546.881231,14208913931.104986,14507547146.247355,14742421549.198301,15016125522.070444,15381443503.819763,15716237968.028002,15808647987.72352,16228164013.67511,16020670597.59846,16075875348.771152,16383301463.976898,16239632177.306095,16278090975.99677,Q
3,0,0.02,692,11648168742.22875,12064742441.996443,12666534679.46263,13323982258.218695,14136770433.272882,14627343538.532595,14943268652.617115,15564675495.963074,15661484529.500496,15602275678.438274,15877149547.26302,16020672747.892176,16195392076.328257,16583120405.187551,16638542621.529835,16833711805.895132,16445614363.367756,Q
4,0,0.02,303,10716253274.84033,11090278419.0992,11782542405.594494,12193049476.693504,12971995223.765911,13623556540.81117,13836208048.615616,14537565166.745378,15609540349.823616,16282982438.578714,16753024811.667418,16727857940.705576,17350868896.841934,17406340780.054455,18304511812.650215,18122062995.248714,17938785447.10782,Q
5,0,0.02,135,11295166266.519825,11990936865.004532,12359793645.495926,13018828610.318367,14066862894.50332,14519368053.3205,14971216380.789698,15246443796.44495,15228839652.555445,15791111784.012022,15859048997.9644,16306588587.109621,16862413774.441357,16888271452.538597,16512589126.65584,16285464176.817522,16266974758.510305,Q
6,0,0.02,50,12051131356.078527,12115485581.23393,12471094453.15027,13248340547.62901,13726865230.665014,14644319565.653065,14710681343.583454,14756892469.035143,15537707083.481455,15226215874.820004,15438362251.653542,16687625890.111807,16667193196.629509,16644385257.892256,16232248684.29516,16180576736.502626,16106117090.160583,Q
7,0,0.02,16,11187524684.043362,11230375673.571117,11469289383.23344,13012486030.769579,13064111500.57538,14133776060.509655,14105385977.988237,14162344282.147556,14099989134.943527,14074272242.567184,14068228866.155136,14060411720.850327,13936289912.328218,13974571726.341509,14052866457.191914,14014206154.350775,32123608599.733967,Q
8,0,0.02,5,9244828602.816788,9318822500.26622,10198812861.779396,10314218377.309824,10352153189.631165,10366438548.28722,10388002573.825466,14335220183.570686,14286038901.825726,14354483167.486305,14361575544.25092,14434931312.213282,21870116877.48892,21963923282.646473,22006336493.699978,21561720474.79149,21510317266.540485,Q
9,0,0.02,2,9936265200.564373,9823492948.394209,16199645417.067663,16593946603.12907,16550045310.673458,16659714576.65849,16742778365.354435,16945639553.867048,17095958909.683758,17206374810.377155,17271780566.589264,17374274011.22495,17033332294.76604,17093945895.780176,17285706643.190952,17262640869.563602,16428539364.094019,Q
0,0,0.05,202680,14307966718.551666,14608898764.73378,14730981749.240086,14955801774.273783,14603607379.209454,14479899256.516857,14462783338.136976,14697490074.901642,15022888906.395023,15205289110.895102,15412664459.564886,15760163554.9705,15492893998.2152,15774820343.299034,15238552462.207256,15350697901.492704,16068219809.806986,Q
1,0,0.05,4801,12938326193.59988,13512642490.424131,13909216622.139473,14360849748.716234,14891586118.262194,15095756739.779087,15195556636.056274,15326102700.01277,15550017377.466978,15840892621.91539,15856282243.274908,15674281810.896011,15637299796.440792,15584159735.167099,15759634273.734793,15598413390.523834,15410724115.448355,Q
2,0,0.05,1625,12151143228.72029,12776691265.988026,13315888554.807875,13795635658.605772,14189368518.101318,14452914890.017962,14708812809.751965,15055098055.24685,15483095242.815647,15849076232.60741,16022394957.948774,16431835043.32032,16040044197.12088,16233284167.643145,16658539674.338545,16488691080.333775,16477984320.637144,Q
3,0,0.05,693,11313431343.929754,11846980179.615988,12468123911.815306,13279498014.562887,14138273283.630651,14669015331.438234,14942416046.606525,15610856862.46209,15745142820.451256,15783622794.430803,16139661492.54831,16312345679.137087,16267287526.426126,16776407560.827988,16911140211.345016,17119481695.908064,16686330947.495169,Q
4,0,0.05,303,10430825689.24277,10848876697.58685,11623878415.701048,12184375075.967527,12973634846.480995,13594569212.574156,13858101570.454023,14589216334.84125,15669923777.140348,16445622157.20526,16997770173.295351,17010184908.831459,17413465020.083485,17594304246.750584,18550428486.490067,18391513885.13106,18092581515.202835,Q
5,0,0.05,135,10915672874.107082,11669484515.987919,12087953451.116983,12898146766.42273,13907167586.277288,14452661092.7081,14922603986.648201,15305710987.257528,15438782878.049425,16045305011.61223,16217618386.053854,16653086265.157755,16971254663.974012,17149912159.634745,16928977110.754646,16669978478.675552,16468003947.892536,Q
6,0,0.05,50,11699034657.39926,11863263827.394022,12283494019.610292,13159432702.938772,13598933382.801847,14542980644.665878,14700130213.600943,14813574661.992275,15565247305.207376,15461356962.913437,15605972556.46446,16839827621.940742,16773280886.20743,16930460410.559677,16659106953.591404,16565740944.16466,16406459863.815315,Q
7,0,0.05,16,10871433061.561428,10971382803.406277,11404183386.37851,13154514537.352161,13280921194.384254,14327829041.710737,14250601755.94535,14392351002.966763,14236295074.516062,14177094552.936728,14169370114.102413,14134132074.316696,13836039719.44943,13927590339.45821,14117025681.698786,14025770600.234756,31962312639.130764,Q
8,0,0.05,5,9067526834.7804,9249139483.75369,10197542005.73277,10492288217.015133,10588828618.891317,10623921138.953611,10680917141.423553,14391597534.569439,14270433101.333605,14443146317.079025,14462033696.713402,14646322904.46928,21415128925.66011,21793705798.24201,21904045033.098347,21855647381.53884,21727998878.23205,Q
9,0,0.05,2,9250764790.067389,8990514527.09228,15288422824.1843,16234889964.168375,16127702023.541283,16396417894.136047,16602112613.231403,17108942015.027554,17491639881.60649,17775911084.59392,17944073468.036377,18214122689.684845,17331821337.47451,17486632617.614513,17986113464.460888,17928999215.863174,15841824454.33055,Q
0,0,0.1,202663,14279619514.33774,14617906043.333576,14709646490.25863,15075759812.375998,14725277073.142548,14526944802.577295,14453860510.200653,14750003221.09234,15129948137.284674,15390008728.067415,15721949946.385319,16131832678.932337,15611192492.981295,16082356777.254086,15641033039.578766,15783248556.055658,16545462559.573025,Q
1,0,0.1,4810,12620401517.066595,13305079608.27151,13767021143.632915,14421077079.69256,14966466519.372425,15121854345.494392,15213234822.50168,15439988666.76015,15719533487.569567,16114045135.001911,16297526778.288086,16141371470.366396,15766478517.408121,15936519929.600147,16310277057.41341,16126472837.714266,15869946739.41662,Q
