q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
0,0,0.02,202523,14368260402.684519,14529067909.230194,14661857053.93522,14854888388.665869,14427677167.714817,14384715430.054693,14365684745.353003,14599877326.786615,14757254306.780697,14844496167.859392,15042335020.410498,15277803790.002945,15240162962.345053,15474233212.046083,14866118569.207808,14864399346.193016,15472349377.550795,Q
1,0,0.02,4883,12992720504.021027,13353384231.40294,13896202087.446253,14322525939.649515,14918053857.622116,15022441635.369173,15118320905.027487,15143475455.058067,15300891964.438541,15632602103.45189,15276639247.262043,15055711362.705647,15365599461.521961,15098820805.08737,15365967169.733892,15212493286.494247,14907224656.34375,Q
2,0,0.02,1639,12289265431.985964,12863871736.649593,13345591666.962618,13930873953.359749,14350995370.455173,14676173418.339417,14777599004.578104,15008984722.26897,15413735868.95701,15738432154.27449,15740678896.930803,15812589016.95294,15615107457.569275,15766405276.989233,15641305843.98084,15549153553.86384,15324589518.469742,Q
3,0,0.02,674,11499683854.215624,11802193333.100426,12169303413.795391,12870012794.427406,13638420357.498522,14163674712.454058,14187221363.303514,14865991013.076464,15263946950.300632,15609217603.941435,15843241609.9474,16087378845.430067,16274574984.75666,16635685879.357437,17019624985.514597,16875482224.316313,17235095452.283012,Q
4,0,0.02,326,11004697966.84714,11340842714.861086,11947916563.656565,12332435706.612072,12929679319.047651,13870721051.26135,13910267013.402697,14564382150.440155,15735326910.913328,15715978527.946842,15631399186.752295,15696563442.398521,16528449487.936335,17266046378.95046,17918687411.545986,17857884174.884453,17518233466.9249,Q
5,0,0.02,145,11108473786.402924,12083594608.557648,12548233964.85502,12963020450.471722,13661618844.05391,13586085217.360842,14288176246.328924,14411943120.556313,14416648186.225107,15359309381.325842,15825931831.548405,16039113367.694696,16368621115.865175,16511269991.081762,16274039124.497454,17291110411.691227,17247534020.061066,Q
6,0,0.02,77,11114812198.49552,11116980905.076416,11353411955.371595,12124393446.784294,13129146796.592402,13659162180.450779,13777134535.443317,14680237043.223526,15608172657.421339,15880255526.132954,15798398727.946766,17407701639.75244,17464954062.544178,17577873994.722183,17642859714.32254,17523558899.580086,17459979198.231804,Q
7,0,0.02,30,10046865526.966436,10533768186.830639,10577457428.713034,11882730085.478249,11952830845.807823,13868082052.660433,13908962393.693144,14788899393.967785,15074842023.21992,14867910983.852943,16148330427.202095,16345278741.673325,16278590153.010132,16366123954.420124,16399469115.998335,16319434388.77439,16237349027.843424,Q
8,0,0.02,11,10732075873.100677,10745344606.52842,10812879585.679127,12312395435.851145,12361931082.536993,12366821634.723715,13890495493.010546,14039550079.278221,14077145462.838055,14032799192.295187,14060512291.561646,14022789440.60567,21360992741.48988,21939653923.094486,22045011624.94422,22017771408.443012,21841702628.27487,Q
9,0,0.02,2,14208306597.78962,14024405602.28175,14237632988.953144,14656040056.427637,14604791127.857323,14721830850.339249,14812777526.542755,14967986086.81345,15133047950.05061,15242104916.285873,15250750756.522724,15427228170.184326,15080542608.970482,15166042647.58782,15416843225.032455,15462371249.559223,14672247897.539562,Q
