s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.05,0,offdiag,noise,FE,90,-4174957059988801.5,-3.757461353989921e+17,1.8112664423227788e+16,-2.0481141922619924e+16,-1.2803914162642282e+16,1.1157079068198702e+16,1.5353469902531776e+16
0.05,0,offdiag,noise,base,90,-1.650603653307505e+16,-1.4855432879767544e+18,1.239581926837834e+17,-1.3042744667820294e+17,-5.093635472778365e+16,4.308752280606847e+16,1.0883122076640341e+17
0.05,0,offdiag,noise,noise,90,-604484236774193.2,-5.440358130967739e+16,1.1394206662383478e+16,-8686545524931363.0,-2539554933882212.5,5815521954509225.0,8233122973478577.0
0.1,0,diag,FE,FE,10,1.5324125115514592e+17,1.5324125115514593e+18,1.5760032213815608e+16,1.3943520289608536e+17,1.4300236425749109e+17,1.65881004762246e+17,1.7280305755154717e+17
0.1,0,diag,FE,base,10,3.144512042756964e+17,3.144512042756964e+18,1.5174447465633766e+17,1.4612447447949962e+17,2.3022227496300653e+17,3.858593319685271e+17,5.1401132528611117e+17
0.1,0,diag,FE,noise,10,-2.177100337186803e+16,-2.1771003371868032e+17,8.76632222419539e+16,-8.655558527648886e+16,-4.598297200320677e+16,3.325487397505005e+16,4.718014975045205e+16
0.1,0,diag,base,FE,10,3.144512042756964e+17,3.144512042756964e+18,1.5174447465633766e+17,1.4612447447949962e+17,2.3022227496300653e+17,3.858593319685271e+17,5.1401132528611117e+17
0.1,0,diag,base,base,10,1.3964973863882583e+18,1.3964973863882584e+19,1.0668712175114277e+18,2.4492634134722285e+17,6.138334605759631e+17,1.7654397483058778e+18,2.4056435886580275e+18
0.1,0,diag,base,noise,10,-5060722822041008.0,-5.060722822041008e+16,1.4632375715266726e+17,-1.854081134759453e+17,-1.1628576350517878e+17,3.949307131113434e+16,1.85561165580666e+17
0.1,0,diag,noise,FE,10,-2.177100337186803e+16,-2.1771003371868032e+17,8.76632222419539e+16,-8.655558527648886e+16,-4.598297200320677e+16,3.325487397505005e+16,4.718014975045205e+16
0.1,0,diag,noise,base,10,-5060722822041008.0,-5.060722822041008e+16,1.4632375715266726e+17,-1.854081134759453e+17,-1.1628576350517878e+17,3.949307131113434e+16,1.85561165580666e+17
0.1,0,diag,noise,noise,10,8.59018858344703e+16,8.590188583447031e+17,1.413253459006141e+17,1.662922831875244e+16,2.1773661311976516e+16,6.127958972377878e+16,1.4470602470566544e+17
0.1,0,offdiag,FE,FE,90,1.5186119852365955e+17,1.366750786712936e+19,9952226838332424.0,1.4009962229536779e+17,1.4358431707456968e+17,1.575709377705957e+17,1.6661375874061222e+17
0.1,0,offdiag,FE,base,90,3.2450966071830803e+17,2.920586946464772e+19,1.537260715489622e+17,1.3650460886946918e+17,2.2987181978825517e+17,4.089413048422249e+17,5.320934657044458e+17
0.1,0,offdiag,FE,noise,90,-1.8736185880687084e+16,-1.6862567292618376e+18,7.450468317375845e+16,-8.317713739149872e+16,-5.060439337881908e+16,4.079042775399391e+16,6.099499691204645e+16
0.1,0,offdiag,base,FE,90,3.2450966071830803e+17,2.9205869464647725e+19,1.5372607154896218e+17,1.3650460886946918e+17,2.2987181978825517e+17,4.089413048422249e+17,5.320934657044458e+17
0.1,0,offdiag,base,base,90,8.466413866785396e+17,7.619772480106856e+19,5.880881427359251e+17,8.245133004985904e+16,4.431601807900339e+17,1.175216430121548e+18,1.8530414052437699e+18
0.1,0,offdiag,base,noise,90,-3.912126565939522e+16,-3.52091390934557e+18,2.4991168839710493e+17,-2.5246440695810298e+17,-1.0242738021213266e+17,8.179678005899715e+16,1.9712202370994797e+17
0.1,0,offdiag,noise,FE,90,-1.873618588068709e+16,-1.686256729261838e+18,7.450468317375843e+16,-8.317713739149872e+16,-5.060439337881908e+16,4.079042775399391e+16,6.099499691204645e+16
0.1,0,offdiag,noise,base,90,-3.912126565939524e+16,-3.5209139093455713e+18,2.4991168839710493e+17,-2.5246440695810298e+17,-1.0242738021213266e+17,8.179678005899715e+16,1.9712202370994797e+17
0.1,0,offdiag,noise,noise,90,-2170425888749075.2,-1.9533832998741677e+17,4.5893331722097544e+16,-4.88520130701399e+16,-9136087947189056.0,2.0207533886856304e+16,3.2827188720811228e+16
0.25,0,diag,FE,FE,10,9.418156812524294e+17,9.418156812524294e+18,1.003324434433018e+17,8.630517034264742e+17,8.763607367339228e+17,1.0102075234852827e+18,1.0514387331048626e+18
0.25,0,diag,FE,base,10,7.792388366921632e+17,7.792388366921632e+18,3.8856149766805126e+17,3.4214432990967277e+17,5.198293238248791e+17,9.816268838700289e+17,1.2749202991428296e+18
0.25,0,diag,FE,noise,10,-1.6584108935142157e+17,-1.6584108935142157e+18,5.718250133284091e+17,-5.322713702461788e+17,-3.7332693161207494e+17,1.9275317898264666e+17,3.4456005978094266e+17
0.25,0,diag,base,FE,10,7.792388366921632e+17,7.792388366921632e+18,3.8856149766805126e+17,3.4214432990967277e+17,5.198293238248791e+17,9.816268838700289e+17,1.2749202991428296e+18
0.25,0,diag,base,base,10,1.3950588812141514e+18,1.3950588812141515e+19,1.068572705917747e+18,2.3790278278564755e+17,6.086784955911107e+17,1.7688236435851336e+18,2.4056435886580275e+18
0.25,0,diag,base,noise,10,-2.2628285659219444e+16,-2.2628285659219443e+17,3.7887554082258016e+17,-4.621265866889571e+17,-3.146992226190488e+17,1.4071674958104738e+17,3.768395534790265e+17
0.25,0,diag,noise,FE,10,-1.6584108935142157e+17,-1.6584108935142157e+18,5.718250133284091e+17,-5.322713702461788e+17,-3.7332693161207494e+17,1.9275317898264666e+17,3.4456005978094266e+17
0.25,0,diag,noise,base,10,-2.2628285659219444e+16,-2.2628285659219443e+17,3.7887554082258016e+17,-4.621265866889571e+17,-3.146992226190488e+17,1.4071674958104738e+17,3.768395534790265e+17
0.25,0,diag,noise,noise,10,5.7563837744994355e+17,5.756383774499436e+18,9.660253552302528e+17,8.247168672013664e+16,1.289156226151033e+17,4.282378500966991e+17,8.41769937286261e+17
0.25,0,offdiag,FE,FE,90,9.328134608588654e+17,8.395321147729789e+19,6.2680619770235496e+16,8.522651206787108e+17,8.844633422874344e+17,9.715398846350472e+17,1.0162954564020764e+18
0.25,0,offdiag,FE,base,90,8.091184064638395e+17,7.282065658174555e+19,4.021034673817725e+17,3.219675555116842e+17,5.192895875371191e+17,1.0473850334932132e+18,1.305124012677835e+18
