q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
4,0,0.25,312,10979332258.990494,11320473089.055,11998226510.106573,12359453364.039423,13132901871.82045,13746870266.458422,13921559595.752317,14587203293.538635,15487958612.108694,15755344405.764547,16170754725.582653,16121704315.629633,16890477844.535793,16852783657.937494,17713663863.379852,17518993301.725334,17423836474.715153,Q
5,0,0.25,138,11474742452.583496,12137256385.808664,12508721353.490297,13015011370.578247,13796117095.701202,14356208634.007671,14801716142.644659,14857258179.980478,15042588701.742807,15635216602.85708,15635216602.85708,16096552842.685566,15994736195.621922,15928950531.46001,15451140817.227795,15242899868.903334,15391067641.793974,Q
6,0,0.25,54,12495570482.143246,12495570482.143246,12750006964.73199,13500653842.554117,14306029535.95883,14306029535.95883,14306029535.95883,14466833620.044561,15146695004.814375,14818772522.516634,15104323201.032938,16359624160.850962,17175779407.515749,17027939681.352072,16520849843.159002,16520008177.146883,16520008177.146883,Q
7,0,0.25,18,11753303871.30497,11753303871.30497,11866398450.13708,13272715309.510027,13272715309.510027,15254916057.24193,15254916057.24193,15254916057.24193,15254916057.24193,15254916057.24193,15254916057.24193,15254916057.24193,15254916057.24193,15252556143.252924,15254916057.24193,15252556143.252924,33501887998.241936,Q
8,0,0.25,5,9365634875.056988,9365634875.056988,10203395624.415531,10203395624.415531,10203395624.415531,10203395624.415531,10203395624.415531,14308101115.133783,14308101115.133783,14308101115.133783,14308101115.133783,14308101115.133783,22208889655.42627,22208889655.42627,22208889655.42627,21371128906.067726,21371128906.067726,Q
9,0,0.25,2,10421259205.821003,10421259205.821003,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,Q
0,0,0.5,202373,14061633311.758553,14288458683.521345,14411631503.370085,14482100743.878706,14119327243.639414,14016516461.609331,14049911902.115988,14232140279.313599,14483031850.077393,14573365916.919418,14653615721.200737,14912584172.233324,14896176483.113785,15004251719.9009,14385957723.092327,14446821681.454556,15071720577.68123,Q
1,0,0.5,4977,13209714176.34851,13626737651.542261,13896680648.787325,14174986018.967888,14590974257.505583,14881995224.399073,14981415027.781622,15000212665.75593,15177156457.74057,15399204775.251484,15263238883.250748,15092212538.048893,15342715328.244295,14951771427.900864,15102081224.228699,14996694060.054005,14984130632.55755,Q
2,0,0.5,1701,12624774873.41771,13088406073.947683,13601562588.820742,13842830507.196375,14255557333.542727,14540707762.03496,14771538994.894194,15008467732.62273,15346031552.23687,15637556966.049173,15660397078.285496,16081453600.961655,16048656486.176884,16050499230.677534,16011348065.663944,15869167871.159523,15941406952.980343,Q
3,0,0.5,710,11597742474.398087,11942332056.664217,12495705295.929317,12955709924.827662,13767044913.591732,14119394503.63925,14461882694.613176,15070622244.218994,15056340868.88602,15088238587.612309,15321695258.50041,15440028886.916653,15742396181.232834,16148665304.923872,16266696360.76062,16454868568.805918,16102795528.476824,Q
4,0,0.5,313,10433736753.739557,10774877583.804064,11479729370.637096,11861830852.241104,12475554601.583408,12979237272.6588,13039250995.884565,13819570299.739014,14675860663.911839,14728962318.463055,15144372638.28116,15095322228.328138,15864095757.234299,15826401570.636002,16794803019.224718,16602336977.834442,16587739121.526619,Q
5,0,0.5,146,11415367013.666,12134457371.350712,12312834389.636448,12859476687.631504,13581935858.685568,14264322761.206762,14824505875.911875,14765372307.179564,15065378435.010025,15872290475.228935,15872290475.228935,16333626715.05742,16231810067.99378,16166024403.83187,15578488926.189047,15410806791.593596,15437856780.052868,Q
6,0,0.5,58,9913274285.151175,9856697860.69163,10304222292.676271,11054869170.4984,12078616176.410723,12078616176.410723,12078616176.410723,12239420260.496458,12919281645.266268,12591359162.96853,12876909841.484835,14132210801.302858,14948366047.967642,14800526321.803965,14293436483.610895,14252036003.86976,14292594817.598776,Q
7,0,0.5,22,10479148745.909134,10479148745.909134,10592243324.741243,11998560184.114191,11998560184.114191,13980760931.846094,13980760931.846094,13980760931.846094,13980760931.846094,13980760931.846094,13980760931.846094,13980760931.846094,13980760931.846094,13978401017.857088,13980760931.846094,13978401017.857088,32227732872.846104,Q
8,0,0.5,7,8476216686.8096695,8476216686.8096695,9313977436.168213,9313977436.168213,9313977436.168213,9313977436.168213,9313977436.168213,13418682926.886465,13418682926.886465,13418682926.886465,13418682926.886465,13418682926.886465,21319471467.178947,21319471467.178947,21319471467.178947,20481710717.820408,20481710717.820408,Q
9,0,0.5,3,16321922546.532595,16321922546.532595,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,22738412038.3353,Q
0,0,0.02,28373,11068939324.007349,11195979802.984064,11270143599.321114,11387674471.210299,11784169607.693869,12165415947.361395,12282054355.226135,12379926344.2695,12557622816.295511,12733475390.09311,12685405612.512285,13483483100.52144,21590795722.18231,21879457346.21645,22236379784.950714,22122340539.853256,22185989146.563885,P
1,0,0.02,25921,7804028604.686894,7996211290.94506,14639013883.61695,14826521011.380058,15732182266.15801,15780626726.775976,15565133274.741278,15805405668.435581,16265312224.744793,16049483612.899263,16430599744.350178,16603771258.341293,16542845310.196707,16627448160.29622,16230993600.522541,16156906785.597404,16019462876.89436,P
2,0,0.02,24896,8322626241.890945,8491233237.180042,8893711183.776941,9646006674.055073,9884038903.758032,10136967569.274036,10126489211.255436,10286635905.208113,10757105184.017977,10999579404.92267,11070048455.42403,11509767782.524742,11729488289.163979,11637848302.917597,11662105614.962593,11511794748.297407,11319057758.801931,P
3,0,0.02,22454,17638954114.8799,17872605960.396233,18053782008.368206,18241345190.623394,18534379250.489517,18594635251.849907,19071662872.59801,19101289392.209652,20001391432.662834,20357498020.517544,20407283879.774857,20499966459.362606,21087142547.93291,20990982718.958607,20555900123.365204,20472176476.812683,20861402868.28794,P
4,0,0.02,21799,11276311100.804117,11522964426.140182,12803510104.245838,13244636686.79971,13990230545.76387,15388237126.551725,15490689227.075056,15821794802.0232,15976271211.564447,15881033463.828388,15918070289.99708,16265822198.93296,16239070037.950937,16036279980.757778,16212871720.712206,15338592808.116562,15378932603.147715,P
5,0,0.02,20944,14476473966.769398,14664357679.752615,14736523834.530294,14799665947.960857,15147720142.963177,15209211189.163937,15211082211.436909,15223838235.898998,15081738363.889526,15060848945.672981,15079492101.936777,15076603833.438574,15046289742.105469,15021357176.432428,14992001081.076956,14992859693.982574,14968235993.323719,P
6,0,0.02,20808,10168592699.052666,10866964503.06809,11091278793.737492,11246954231.600554,11314176225.797724,12540014025.304865,12692606730.102436,17233473462.628906,17437660643.356792,17714282711.03026,17590509779.3885,17933204162.071148,17817229735.302967,17712691528.43092,18115107502.593544,18036744579.95226,18137062146.66789,P
7,0,0.02,19941,10735587856.49208,10901251558.71819,11394865035.127775,12878090964.026123,12820966959.356066,12939445171.485214,13045946281.227097,13424814569.838717,13573775635.900913,13750659728.495533,14098648887.454311,13784725708.205744,14534391220.908707,14503655290.589966,14595058854.249537,14578356721.168657,14428731001.922129,P
8,0,0.02,19150,14831302139.0614,15069343871.030766,15315781629.99837,15709079604.578089,16161761703.915764,16360082423.130146,16537047003.100838,16748426186.711279,16947507628.057264,17152039424.473303,17136211018.23284,17468889857.1328,17728350278.78188,17703959953.86751,17701360802.83075,17783350868.732857,17919730078.75298,P
9,0,0.02,6024,12210714820.086412,12408342930.558262,12948388816.379229,13302778781.625427,13550334437.681086,13799305137.411499,14217560907.19878,14248057119.170368,14262552229.706905,14329933397.627718,14514106024.229342,14599060479.385332,14797257904.797853,14870744044.578712,14169677154.866417,14238132506.270763,32647495565.513424,P
0,0,0.05,28296,11068939324.007349,11195979802.984064,11270143599.321114,11387674471.210299,11784169607.693869,12165415947.361395,12282054355.226135,12379926344.2695,12557622816.295511,12733475390.09311,12685405612.512285,13483483100.52144,21590795722.18231,21879457346.21645,22236379784.950714,22122340539.853256,22185989146.563885,P
1,0,0.05,25927,7813185901.347689,8008313284.773415,14651104814.079481,14838502651.64832,15744569075.409601,15792608796.873903,15577128936.746685,15817494406.349321,16277413544.745792,16062148757.886478,16442466030.50545,16615615185.429981,16555304218.40731,16640121891.352835,16243174076.1185,16169012919.540539,16031031501.794647,P
2,0,0.05,24896,8313468945.23015,8479131243.351687,8881620253.314419,9634025033.786812,9871652094.506443,10124985499.176111,10114493549.250027,10274547167.294374,10745003864.016977,10986914259.935461,11058182169.26876,11497923855.436054,11717029380.953379,11625174571.860987,11649925139.366638,11499688614.354275,11307489133.901646,P
3,0,0.05,22454,17638954114.8799,17872605960.396233,18053782008.368206,18241345190.623394,18534379250.489517,18594635251.849907,19071662872.59801,19101289392.209652,20001391432.662834,20357498020.517544,20407283879.774857,20499966459.362606,21087142547.93291,20990982718.958607,20555900123.365204,20472176476.812683,20861402868.28794,P
4,0,0.05,21876,11276311100.804117,11522964426.140182,12803510104.245838,13244636686.79971,13990230545.76387,15388237126.551725,15490689227.075056,15821794802.0232,15976271211.564447,15881033463.828388,15918070289.99708,16265822198.93296,16239070037.950937,16036279980.757778,16212871720.712206,15338592808.116562,15378932603.147715,P
5,0,0.05,20900,14476473966.769398,14664357679.752615,14736523834.530294,14799665947.960857,15147720142.963177,15209211189.163937,15211082211.436909,15223838235.898998,15081738363.889526,15060848945.672981,15079492101.936777,15076603833.438574,15046289742.105469,15021357176.432428,14992001081.076956,14992859693.982574,14968235993.323719,P
6,0,0.05,20802,10152810350.711088,10850659779.86562,11075759492.182325,11231284613.893986,11297537335.184507,12523995087.380274,12676404256.711039,17215139501.33044,17419311849.838207,17696181153.010353,17568084846.40199,17911081851.078236,17795000561.410217,17690350373.982124,18092760394.231377,18012774637.33167,18113043528.47056,P
7,0,0.05,19985,10751370204.83366,10917556281.920658,11410384336.68294,12893760581.732689,12837605849.969278,12955464109.409805,13062148754.618496,13443148531.137175,13592124429.419502,13768761286.515442,14121073820.440823,13806848019.198656,14556620394.801449,14525996445.038765,14617405962.6117,14602326663.789244,14452749620.119463,P
8,0,0.05,19150,14830447665.16243,15068489397.131796,15315404902.448519,15709079604.578089,16161374234.365913,16359705695.580296,16536670275.550987,16748046686.840385,16947130900.507414,17152039424.473303,17136208567.36059,17468513129.58295,17727968328.038734,17703580453.996616,17700981624.40865,17653725706.855595,17790104916.875717,P
9,0,0.05,6024,12211569293.985384,12409197404.457233,12948765543.92908,13302778781.625427,13550721907.230936,13799681864.96135,14217937634.74863,14248436619.041262,14262928957.256756,14329933397.627718,14514108475.101591,14599437206.935183,14797639855.540997,14871123544.449606,14170056333.288517,14367757668.148022,32777120727.390682,P
0,0,0.1,28198,11068939324.007349,11195979802.984064,11270143599.321114,11387674471.210299,11784169607.693869,12165415947.361395,12282054355.226135,12379926344.2695,12557622816.295511,12733475390.09311,12685405612.512285,13483483100.52144,21590795722.18231,21879457346.21645,22236379784.950714,22122340539.853256,22185989146.563885,P
1,0,0.1,25927,7824231680.935317,8019696389.729744,14662225672.457188,14849583195.196632,15757447966.612944,15803118119.827154,15590364791.597073,15832547410.044065,16292080973.455969,16076463575.494223,16456997558.758669,16630105950.248554,16569133410.992966,16653760498.93849,16256788201.045979,16182623852.364382,16044678007.321375,P
2,0,0.1,24951,8302423165.642525,8467748138.395362,8870499394.936707,9622944490.238499,9858773203.303099,10114476176.222858,10101257694.399641,10259494163.59963,10730336435.306799,10972599442.32772,11043650641.015541,11483433090.617481,11703200188.367718,11611535964.275331,11636311014.43916,11486077681.530436,11293842628.37492,P
3,0,0.1,22399,17672860871.527645,17906536073.12009,18088259269.965996,18283034451.264385,18576160729.344677,18636801033.08394,19114171090.44243,19136550462.94447,20036775065.07565,20393372957.23931,20442653443.673965,20536882765.26518,21132554994.30298,21027295469.479748,20592136850.36344,20508373302.98738,20897522422.254074,P
4,0,0.1,21974,11242404344.156368,11489034313.41632,12769032842.648046,13202947426.158712,13948449066.908705,15346071345.31769,15448181009.230637,15786533731.288378,15940887579.15163,15845158527.10662,15882700726.097971,16228905893.030388,16193657591.580866,15999967230.236637,16176634993.713968,15302395981.941864,15342813049.181578,P
5,0,0.1,20841,14476473966.769398,14664357679.752615,14736523834.530294,14799665947.960857,15147720142.963177,15209211189.163937,15211082211.436909,15223838235.898998,15081738363.889526,15060848945.672981,15079492101.936777,15076603833.438574,15046289742.105469,15021357176.432428,14992001081.076956,14992859693.982574,14968235993.323719,P
6,0,0.1,20802,10132251635.272636,10621167144.279528,10845872688.230185,11002251590.14064,11067746563.460367,12295269756.278786,12438224094.007826,16975494961.560747,17180940454.05774,17457323172.33516,17329311379.225086,17673027236.932846,17542731666.049698,17442592992.095135,17853784169.740025,17775956104.695415,17876028910.337,P
7,0,0.1,20044,10771928920.272114,11147048917.50673,11640271140.635077,13122793605.486042,13067396621.693415,13184189440.5113,13300328917.321709,13682793070.906874,13830495825.19997,14007619267.190636,14359847287.617718,14044902633.344034,14808889290.16198,14773753826.925766,14856382187.10306,14839145196.425497,14689764238.253027,P
8,0,0.1,19150,14830447665.16243,15068489397.131796,15315404902.448519,15709079604.578089,16161374234.365913,16359705695.580296,16536670275.550987,16748046686.840385,16947130900.507414,17152039424.473303,17136208567.36059,17468513129.58295,17727968328.038734,17703580453.996616,17700981624.40865,17653725706.855595,17790104916.875717,P
9,0,0.1,6024,12211569293.985384,12409197404.457233,12948765543.92908,13302778781.625427,13550721907.230936,13799681864.96135,14217937634.74863,14248436619.041262,14262928957.256756,14329933397.627718,14514108475.101591,14599437206.935183,14797639855.540997,14871123544.449606,14170056333.288517,14367757668.148022,32777120727.390682,P
0,0,0.25,28202,11159550471.088625,11286551510.043802,11360856197.90502,11477553824.773457,11874653510.535374,12255930342.64198,12373134042.82321,12471771924.682013,12648949061.305391,12824638454.167435,12776387389.531477,13567522963.104385,21674848861.303432,21963138523.38977,22319774324.104366,22207079405.843796,22271105336.665718,P
1,0,0.25,26027,7792628300.294547,7976539709.363111,14629801081.849297,14824307904.668154,15727191064.289854,15772920252.071379,15560128343.70327,15795073141.613325,16254418710.985527,16043455264.432514,16424745587.632849,16605471533.5497,16543953693.452309,16618345695.331787,16220787736.946564,16145274462.121162,16007110645.316158,P
2,0,0.25,25087,8243415399.202022,8420333111.702264,8812211386.9607,9558340427.203814,9798546202.78469,10054159648.698053,10040414454.696371,10205122851.617857,10676672452.76735,10914444689.315107,10984920835.122173,11424027644.733395,11644326766.787275,11563269590.708733,11588916939.384933,11438688205.783127,11246293800.278318,P
3,0,0.25,22365,17745772282.621826,17979723555.320545,18162505818.01053,18358182652.13497,18651245899.558926,18726540367.10989,19178388300.06527,19199951018.052822,20084692557.335064,20450317251.387093,20471810154.166122,20578194665.335094,21173770281.482727,21068083893.53346,20633596754.635105,20576672824.90384,20959924278.919712,P
4,0,0.25,21653,10920732484.172602,11170019721.58522,12445403844.435596,12597522467.978119,13347447115.11097,14726256217.145254,14852390746.954084,15153023682.81374,15321902994.629019,15216576916.434599,15246687558.410591,15584255620.436907,15565791339.479912,15409523355.91044,15589187048.335693,14691211026.210955,14705285443.236198,P
5,0,0.25,20702,14275495731.56287,14457531726.862385,14531389612.817741,14880015117.144035,15189366600.161213,15204785509.7444,15208005512.228495,15259197133.371647,15123649673.494408,15102973311.342072,15146942666.01827,15140863813.994478,15095927515.763353,15033831742.170782,15000385240.688848,15001131429.494492,15018594388.132473,P
6,0,0.25,20662,10487111806.295763,10974831568.90515,11202644433.786121,11346125360.945547,11445556579.753447,12723083553.37018,12862860731.457548,17398386973.443516,17602908258.336422,17876701142.57991,17758100905.97902,18107126100.820755,17974831520.337822,17864865009.562126,18286940393.222904,18216343668.15431,18306543767.450397,P
7,0,0.25,20055,10866807433.345062,11246037555.401955,11738016066.959589,13228847422.807941,13173856929.785757,13290877116.985924,13410342031.734093,13794651654.9177,13937683803.579556,14117754247.800976,14470463653.977474,14149882161.423727,14913802627.137108,14888662693.992836,14960829845.114882,14933371331.269114,14784016735.610613,P
8,0,0.25,19318,14817913184.072538,15055746354.684002,15302554748.189999,15695661804.151236,16148375440.510195,16346955248.497053,16523329479.46558,16734714382.194094,16934645710.01856,17139819547.67498,17124295242.209646,17457093898.827904,17716290354.00767,17692121987.965553,17687306804.713844,17640076776.74944,17774995197.143307,P
9,0,0.25,6239,12224103775.07528,12421940446.905025,12961615698.187595,13316196582.052279,13563720701.086653,13812432312.04459,14231278430.834038,14261768923.68755,14275414147.74561,14342153274.42604,14526021800.252537,14610856437.690239,14809317829.57207,14882582010.480675,14183731152.983322,14381406598.25418,32792230447.123096,P
0,0,0.5,27304,10014840521.255854,10124537936.331802,10200204154.573547,10329695322.907473,10686269672.968952,11107667594.554577,11227650705.111748,11318884352.126673,11534847742.409353,11711014387.962822,11661282115.539635,12454418887.602486,12662980400.229597,12893162342.782562,13253883081.996078,13146791751.63628,13213962699.191818,P
1,0,0.5,26685,8525169466.578561,8734376937.110502,8950839855.508179,9062405812.068064,10008884070.001755,10008518901.58585,9780230827.891712,10031671501.289108,10435544134.290617,10190875348.340328,10557750602.625145,10739279200.573261,18573341960.88739,18730450538.77392,18332583193.963184,18245784181.23628,18119478817.556595,P
