s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.02,0,diag,FE,FE,10,2.1528859039995536e+16,2.1528859039995536e+17,2.0782203090615096e+16,1.0198440993297552e+16,1.218922154886576e+16,1.9678021832281944e+16,3.0830197981706336e+16
0.02,0,diag,FE,base,10,1.6727042288308992e+17,1.6727042288308992e+18,1.1798696144786344e+17,1.274021265018724e+16,6.273264509419299e+16,2.5067172088719008e+17,2.7255864506142886e+17
0.02,0,diag,FE,noise,10,4738950650218464.0,4.738950650218464e+16,1.4086388001598534e+16,-1625001291093758.5,-654339206581889.5,1165658887586802.8,9157521353469822.0
0.02,0,diag,base,FE,10,1.6727042288308992e+17,1.6727042288308992e+18,1.1798696144786344e+17,1.274021265018724e+16,6.273264509419299e+16,2.5067172088719008e+17,2.7255864506142886e+17
0.02,0,diag,base,base,10,4.1994524990313974e+18,4.199452499031397e+19,5.700525771428906e+18,9.401299470881549e+16,5.7474552395721395e+17,4.852959094299702e+18,6.870815352619875e+18
0.02,0,diag,base,noise,10,-1.2960012321216436e+16,-1.2960012321216435e+17,6.843201527491694e+16,-4.782786671521046e+16,86988169706694.4,3493544318688492.0,3.483770816377632e+16
0.02,0,diag,noise,FE,10,4738950650218464.0,4.738950650218464e+16,1.4086388001598534e+16,-1625001291093758.5,-654339206581889.5,1165658887586802.8,9157521353469822.0
0.02,0,diag,noise,base,10,-1.2960012321216436e+16,-1.2960012321216435e+17,6.843201527491694e+16,-4.782786671521046e+16,86988169706694.4,3493544318688492.0,3.483770816377632e+16
0.02,0,diag,noise,noise,10,5678524749117677.0,5.678524749117677e+16,1.0364386828284692e+16,50028809077189.234,162685480410934.7,3950158692225324.5,1.7539468339152366e+16
0.02,0,offdiag,FE,FE,90,1.7203779057246086e+16,1.5483401151521477e+18,8716344352171057.0,7028687469393665.0,1.2515762069060652e+16,1.9109829358241756e+16,3.2184265645128564e+16
0.02,0,offdiag,FE,base,90,1.8500405672692595e+17,1.6650365105423335e+19,1.4943174813295382e+17,1.4571001427084256e+16,6.773383894199119e+16,2.526943112927312e+17,3.473353890700754e+17
0.02,0,offdiag,FE,noise,90,2088968362290155.8,1.8800715260611402e+17,5914781210071955.0,-1893070994545975.0,-415242504064617.7,1452374392699294.2,7248497040226787.0
0.02,0,offdiag,base,FE,90,1.8500405672692598e+17,1.6650365105423337e+19,1.494317481329538e+17,1.4571001427084256e+16,6.773383894199119e+16,2.526943112927312e+17,3.473353890700754e+17
0.02,0,offdiag,base,base,90,2.2292139075082173e+18,2.0062925167573955e+20,2.4388038780511155e+18,-6.821210263296962e-12,3.722180367083587e+17,3.8003840058356864e+18,6.472157735092807e+18
0.02,0,offdiag,base,noise,90,2.6579464711544896e+16,2.3921518240390405e+18,8.585354156377277e+16,-2.5465903979964012e+16,-5.10702591327572e-15,2.2958494200359616e+16,9.981727755800346e+16
0.02,0,offdiag,noise,FE,90,2088968362290155.8,1.8800715260611402e+17,5914781210071955.0,-1893070994545975.0,-415242504064617.7,1452374392699294.2,7248497040226787.0
0.02,0,offdiag,noise,base,90,2.6579464711544896e+16,2.3921518240390405e+18,8.585354156377278e+16,-2.5465903979964012e+16,-5.10702591327572e-15,2.2958494200359616e+16,9.981727755800346e+16
0.02,0,offdiag,noise,noise,90,-127511175251713.69,-1.1476005772654232e+16,1357605127911552.5,-1158407811007544.8,-261907770731308.3,171015673744295.97,678780710700285.0
0.05,0,diag,FE,FE,10,1.3367156366230646e+17,1.3367156366230646e+18,1.3042893365745557e+17,6.3247817645819816e+16,7.667327351660123e+16,1.2086702134895542e+17,1.89344339944853e+17
0.05,0,diag,FE,base,10,4.195018846498333e+17,4.1950188464983327e+18,2.96171863179929e+17,3.1746217966041216e+16,1.549320511901803e+17,6.269337359915095e+17,6.962990833903474e+17
0.05,0,diag,FE,noise,10,2.8825244683805504e+16,2.8825244683805504e+17,8.57463858264545e+16,-7704782755579132.0,-3862635293778544.5,7056796261436379.0,5.528656696433318e+16
0.05,0,diag,base,FE,10,4.195018846498333e+17,4.1950188464983327e+18,2.96171863179929e+17,3.1746217966041216e+16,1.549320511901803e+17,6.269337359915095e+17,6.962990833903474e+17
0.05,0,diag,base,base,10,4.1986197819980186e+18,4.1986197819980186e+19,5.702330306354937e+18,9.390890520569536e+16,5.772053172837116e+17,4.867815901184002e+18,6.870815352619875e+18
0.05,0,diag,base,noise,10,-3.0546157210777024e+16,-3.0546157210777024e+17,1.6674182397604886e+17,-1.1603964551189792e+17,173387036394877.6,1.6640380842754826e+16,8.36517770565965e+16
0.05,0,diag,noise,FE,10,2.8825244683805504e+16,2.8825244683805504e+17,8.57463858264545e+16,-7704782755579132.0,-3862635293778544.5,7056796261436379.0,5.528656696433318e+16
0.05,0,diag,noise,base,10,-3.0546157210777024e+16,-3.0546157210777024e+17,1.6674182397604886e+17,-1.1603964551189792e+17,173387036394877.6,1.6640380842754826e+16,8.36517770565965e+16
0.05,0,diag,noise,noise,10,3.351063943919823e+16,3.3510639439198234e+17,6.124052624630427e+16,287241431244178.44,906312480030302.5,2.3513208276914748e+16,1.0530193014726277e+17
0.05,0,offdiag,FE,FE,90,1.067675727732398e+17,9.609081549591583e+18,5.397990858973505e+16,4.395875329736736e+16,7.889828542865973e+16,1.174905975700967e+17,2.0199197691952237e+17
0.05,0,offdiag,FE,base,90,4.629231014419799e+17,4.166307912977819e+19,3.747837245678529e+17,3.740723593407107e+16,1.6597989770910134e+17,6.339930169493875e+17,8.941044591447222e+17
0.05,0,offdiag,FE,noise,90,1.2701185163287756e+16,1.143106664695898e+18,3.545566898094605e+16,-1.178787216243828e+16,-1927560054340636.0,8705456553531608.0,4.377011448070249e+16
0.05,0,offdiag,base,FE,90,4.6292310144198e+17,4.16630791297782e+19,3.74783724567853e+17,3.740723593407107e+16,1.6597989770910134e+17,6.339930169493875e+17,8.941044591447222e+17
0.05,0,offdiag,base,base,90,2.2293064316230377e+18,2.006375788460734e+20,2.4378037321889684e+18,-3.183231456205249e-12,3.685552799671272e+17,3.754596122338742e+18,6.472157735092807e+18
0.05,0,offdiag,base,noise,90,6.525782036026111e+16,5.8732038324235e+18,2.110763134501347e+17,-6.0494988318029544e+16,2.4424906541753444e-15,5.710727108244671e+16,2.4079326932715408e+17
0.05,0,offdiag,noise,FE,90,1.2701185163287756e+16,1.1431066646958981e+18,3.5455668980946056e+16,-1.178787216243828e+16,-1927560054340636.0,8705456553531608.0,4.377011448070249e+16
0.05,0,offdiag,noise,base,90,6.525782036026112e+16,5.873203832423501e+18,2.1107631345013475e+17,-6.0494988318029544e+16,2.4424906541753444e-15,5.710727108244671e+16,2.4079326932715408e+17
0.05,0,offdiag,noise,noise,90,-700481263961700.6,-6.304331375655306e+16,8097426108463046.0,-7515393209352144.0,-1312928280401422.8,859550607928116.0,4044047603150779.5
0.1,0,diag,FE,FE,10,5.3585336912343514e+17,5.358533691234351e+18,5.3121865636714246e+17,2.5020954814910243e+17,3.0731281788914445e+17,4.763390747188498e+17,7.567291549992246e+17
0.1,0,diag,FE,base,10,8.468525870037955e+17,8.468525870037955e+18,6.015255022035813e+17,6.0670554633996744e+16,3.046361730379114e+17,1.276528212589966e+18,1.4290347805644078e+18
0.1,0,diag,FE,noise,10,1.1109813432668163e+17,1.1109813432668163e+18,3.289682567366622e+17,-1.880384655818546e+16,-9210370065978224.0,2.584436583275765e+16,2.0608232679172243e+17
0.1,0,diag,base,FE,10,8.468525870037955e+17,8.468525870037955e+18,6.015255022035813e+17,6.0670554633996744e+16,3.046361730379114e+17,1.276528212589966e+18,1.4290347805644078e+18
0.1,0,diag,base,base,10,4.1927228853834844e+18,4.192722885383484e+19,5.696116166397714e+18,8.965071720068706e+16,5.883180363891981e+17,4.824808206830309e+18,6.870815352619878e+18
0.1,0,diag,base,noise,10,-5.581037584211307e+16,-5.581037584211307e+17,3.124479441967845e+17,-2.0088710815329187e+17,174408752973847.2,4.026902043090824e+16,1.478268930167823e+17
0.1,0,diag,noise,FE,10,1.1109813432668163e+17,1.1109813432668163e+18,3.289682567366622e+17,-1.880384655818546e+16,-9210370065978224.0,2.584436583275765e+16,2.0608232679172243e+17
0.1,0,diag,noise,base,10,-5.581037584211307e+16,-5.581037584211307e+17,3.124479441967845e+17,-2.0088710815329187e+17,174408752973847.2,4.026902043090824e+16,1.478268930167823e+17
0.1,0,diag,noise,noise,10,1.2204838635107346e+17,1.2204838635107346e+18,2.220031545478764e+17,1018315863711915.4,3338616237532265.0,9.405668957754653e+16,3.8011551099932486e+17
0.1,0,offdiag,FE,FE,90,4.2690106445385e+17,3.84210958008465e+19,2.1539474854373414e+17,1.7589270575908672e+17,3.1274808057459334e+17,4.6625331552936e+17,8.046931200553774e+17
0.1,0,offdiag,FE,base,90,9.298968300021079e+17,8.369071470018971e+19,7.552151343454542e+17,7.341094068310368e+16,3.236922059061111e+17,1.270162925344916e+18,1.8491836823086843e+18
0.1,0,offdiag,FE,noise,90,4.827400800076043e+16,4.344660720068439e+18,1.331734930379802e+17,-4.733242568490633e+16,-1455350190351562.5,3.1528353096883176e+16,1.6402425408474714e+17
