q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
0,0,0.02,202212,13824453068.71212,13881344236.954514,14043689689.256329,14225489832.153685,13940043351.68502,13726008848.778471,13729941788.591543,13927235163.380342,14082009142.822239,14218034318.399097,14287453095.373905,14615286332.11187,14666352229.000916,14824919330.933537,14084920133.672466,14439451542.701208,15030378748.264334,Q
1,0,0.02,5008,12553978900.324951,12906007966.141804,13362512027.806309,13615335728.14567,14181122409.419353,14273026078.08475,14400609053.406898,14398759761.384058,14391063311.456219,14906268696.547152,14599622186.849817,14512618042.0241,14895571967.903666,14590893604.348673,14617287145.519135,14813109142.268175,14474174274.471405,Q
2,0,0.02,1713,12123403607.11904,12282949430.502571,12719321722.48737,13393948613.009388,13906244243.280853,14127719469.086512,14199424216.01261,14334135667.973583,14580650228.815125,15049827102.913904,14752824210.857738,14996913113.088924,15068737724.15252,15029034349.128143,14889389262.843218,15158419794.627523,14925569264.462605,Q
3,0,0.02,746,11820599110.276688,12365447598.792334,12836475885.802519,13335768038.512081,14077258106.967468,14041885048.8995,13909406139.456003,14097925920.523657,14248782559.432148,14472344200.331482,14650762787.245955,14859318677.968008,15304318671.066822,15443765647.796007,15333379329.820347,15214642706.371655,15529132737.607336,Q
4,0,0.02,350,10673893867.885172,10770804636.250597,11511140487.551796,11622994584.128134,12548800402.480993,12771804404.256035,12945916705.554398,13887373464.172375,14887581643.84275,15381516277.584644,15804393353.378767,15967282577.52723,16594456042.82008,16479423382.51126,16337726939.090424,16112664512.662302,16054608937.633081,Q
5,0,0.02,162,10642409393.534801,10789817470.378569,10901987550.273066,11202174439.32411,12425225587.605404,13326865316.499325,14157359675.251263,14524964450.60557,15369947796.802008,15584471122.436346,15790393744.466082,15976947043.990366,16277664947.522577,16764729131.439474,16384059404.465387,16432571171.430317,16376210447.970207,Q
6,0,0.02,76,10362200190.82995,10514122613.476782,11250414107.011526,11752916443.97303,12762598419.237154,13496247099.429304,13496247099.429304,14632694530.996738,15252099460.416504,15552463208.59439,15444232586.872929,16256920424.739582,15773648182.051441,15720591693.595387,15730413343.954323,15726353585.16088,15726353585.16088,Q
7,0,0.02,32,10894454095.401783,10894454095.401783,11567932330.149872,12309691908.001484,12350996690.6487,13436522276.918186,13436522276.918186,14644947599.665943,15960377470.54942,15757201582.682251,15757201582.682251,15888367291.404762,15888367291.404762,15496210178.915844,15017790910.173168,15015430996.184162,14416102471.609974,Q
8,0,0.02,9,6089949201.989199,6089949201.989199,6927709951.347742,8334026810.72069,8334026810.72069,8334026810.72069,8334026810.72069,12438732301.438942,12438732301.438942,12438732301.438942,12438732301.438942,12438732301.438942,20339520841.731426,20339520841.731426,20339520841.731426,19501760092.372883,19501760092.372883,Q
9,0,0.02,2,10421259205.821003,10421259205.821003,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,Q
