q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
0,0,0.02,202523,14458189786.205929,14589293957.294338,14728242953.675625,14864079760.283493,14435178321.430939,14414557788.629631,14423332488.912214,14639249727.92062,14772467373.228226,14826270513.432428,14973204442.861252,15188686822.856375,15244666698.54248,15402987096.851149,14765764337.381697,14750707387.414059,15354227929.144318,Q
1,0,0.02,4883,13211742464.58267,13508242245.198002,14017642083.738071,14360064035.063158,14956145735.462513,15070485204.844093,15149171158.742777,15147821571.983816,15266700726.148756,15570457633.39991,15158179885.39235,14921096647.79383,15362508058.472599,15011931421.2685,15209274650.28056,15067483762.357576,14809665328.03381,Q
2,0,0.02,1639,12513158396.075556,13018766766.096354,13463666411.83007,13963492573.94809,14382115349.97917,14715690065.198605,14838815326.376087,15013257070.457787,15377645297.23769,15683150329.35039,15640853689.156164,15679026150.158,15606101124.756737,15679402059.9893,15468474644.705921,15404306128.91574,15211448075.530182,Q
3,0,0.02,674,11768857198.631578,11982147583.0865,12316302205.457958,12944463271.802431,13672127083.400055,14161766433.64572,14217568081.281181,14898846697.45194,15234666367.867086,15520622866.71352,15706258343.675894,15905431532.662733,16255719518.38092,16540078023.051105,16898882834.45413,16711811537.678377,17118137524.15983,Q
4,0,0.02,326,11271760777.564146,11496534207.220387,12101887383.0668,12395971851.517527,12962095610.11682,13913472435.445461,13981060201.231218,14576415581.418608,15733708416.368448,15631920755.09697,15496500140.800957,15548389293.22437,16498069853.646313,17132769653.04939,17742682150.41096,17666785109.03686,17408392076.187347,Q
5,0,0.02,145,11449231551.727,12355924526.64599,12779877331.873806,13093306886.162271,13749509637.727581,13645983649.426289,14346924317.503862,14364669753.513914,14291269951.05305,15210165628.60026,15640466284.070253,15885342530.41377,16377193450.928366,16365626572.034378,16003302849.103518,17095386176.95043,17124337763.606863,Q
6,0,0.02,77,11367462552.779547,11310886128.32,11566674518.302237,12249464457.745035,13210347580.928701,13693619823.616842,13804083506.581404,14769542961.296078,15520434850.34663,15681238934.432364,15573008312.710905,17200222203.163467,17505195171.348763,17452138682.892708,17461960333.251644,17348476235.86646,17389035049.595474,Q
7,0,0.02,30,10256845138.177189,10651145380.220814,10712994879.67735,12011103800.32389,12011103800.32389,13993304548.055794,13993304548.055794,14821122204.749172,15106672883.265476,14821122204.749172,16154838244.970238,16154838244.970238,16151148898.63647,16148788984.647465,16151148898.63647,16148788984.647465,16151148898.63647,Q
8,0,0.02,11,10916163468.842466,10916163468.842466,10916163468.842466,12322480328.215416,12322480328.215416,12322480328.215416,13941701660.046946,13941701660.046946,13941701660.046946,13941701660.046946,13941701660.046946,13941701660.046946,21842490200.33943,21842490200.33943,21842490200.33943,21842490200.33943,21842490200.33943,Q
9,0,0.02,2,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,14880381650.066307,Q
