q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
0,0,0.02,202378,13929803144.602152,14007208051.545725,14198416425.280724,14506533017.301867,14143720391.907877,14119157505.789389,14098399570.640608,14233385758.052368,14440741446.49482,14585683889.255432,14758552519.965435,15032018062.928543,15032876256.26547,15280267944.471933,14479635600.705467,14549793711.436396,15274708231.52667,Q
1,0,0.02,4952,12618813964.112392,12965795095.68857,13303038523.552656,13727596955.836414,14354924756.18554,14598293592.30978,14697430186.320702,14853295997.192226,14894258084.740658,15283799543.84763,15095310795.831331,14916791324.73559,15003925498.674088,14980083324.312815,15151519971.842417,15142594747.270655,15049432902.471405,Q
2,0,0.02,1691,12087438966.08418,12435202369.723083,12874878575.689075,13431024138.545393,13973924095.935675,14160060796.084677,14328918727.020859,14525499818.45802,14972495015.836603,15533173355.3011,15429047498.81223,15567769124.646791,15680171329.204082,15467479907.226599,15491023921.268671,15294780984.614708,15320203547.586569,Q
3,0,0.02,715,11561718267.143291,12134016745.574234,12482761833.683792,13063945081.958906,13807464330.4708,14164521321.93671,14287812949.994287,14533360154.016232,14674762668.977892,15024807207.334057,15549569901.875927,15830326669.38198,15690649791.745028,15709458049.414824,16217465631.186584,16154457873.347939,15742259017.163046,Q
4,0,0.02,330,10724441572.79063,11062866632.116825,12057247711.31717,12387168788.824755,12793367629.954077,13725825800.972588,13689802005.615131,14168783872.323725,14952891300.017618,15272515862.154423,15958920159.105448,16130397967.68618,16523883453.252903,16536962470.127407,16886741775.411194,16665615262.65736,16410639989.886816,Q
5,0,0.02,149,10026215269.223255,10939670014.273447,11426985310.655308,11881019340.515783,13332876349.065233,12929015842.68749,13571899539.208094,14369017418.500864,14753858108.80872,15507297209.435246,15887785540.458626,15634536421.954462,16351619228.81733,17010174843.680708,16866416263.47987,17935929433.657116,17823799428.633476,Q
6,0,0.02,57,10960967420.347393,10996858936.477915,11393636168.27821,12433236806.939201,12512075859.825449,12967669511.385786,13122904118.8085,14613732121.049551,14994396022.701168,15371219378.621641,15459964365.327667,16246167584.37486,16364626820.286457,16458831055.12355,16036914092.015263,15990106673.285294,15879327451.572622,Q
7,0,0.02,25,10463609399.529053,10519739088.588045,10710829820.192528,10838464285.662704,10858682276.832369,12735255102.451313,14328934041.42488,15638973781.435236,17177211956.494944,16932859106.474262,17221926430.72508,17384017316.898426,17227685668.249805,17363310843.561005,17436124090.903297,17365613856.457706,17235439750.476627,Q
8,0,0.02,10,9619266288.277863,9597202319.401293,10497210870.312332,12077616672.757135,12124679527.533007,12100442661.898645,12095571190.619398,12103591343.209818,12054815611.291183,12172093201.544167,12176903357.770159,12105937533.687788,19254872205.9117,19384138839.451775,19491211664.537254,19126842620.60234,18871269254.401943,Q
9,0,0.02,3,9443934180.977604,9585731733.352777,15818463693.64245,15930885132.44345,15947334094.474693,15986047365.685001,15987761403.356205,16069957720.570387,16096324166.462702,16139061596.858183,16231787403.24672,16234669559.132366,16103423234.65828,16185039989.205383,16232877932.41452,16136288092.055824,16085300972.571344,Q
