time_window,ID,degree_size,total_vart,log_ID_degree
0,215,3,656617,0.47712125471966244
0,330,8,23943,0.9030899869919435
0,397,2,190830,0.3010299956639812
0,413,22,971404,1.3424226808222062
0,488,1,1722,0.0
0,546,3,451314,0.47712125471966244
0,678,22,328982,1.3424226808222062
0,694,22,342407,1.3424226808222062
0,728,1,1155,0.0
0,793,151,29683624,2.1789769472931693
0,819,5,184257,0.6989700043360189
0,835,7,123332,0.8450980400142568
0,1163,2,41906,0.3010299956639812
0,1429,1,305,0.0
0,2880,21,1109591,1.3222192947339193
0,2906,1,16243,0.0
0,2922,1,405,0.0
0,2955,1,14311,0.0
0,2971,8,2919424,0.9030899869919435
0,3060,15,431853,1.1760912590556813
0,3094,3,518225,0.47712125471966244
0,3102,17,1352972,1.2304489213782739
0,3110,13,57941812,1.1139433523068367
0,3128,7,79297,0.8450980400142568
0,3136,5,346861,0.6989700043360189
0,3219,2,299061,0.3010299956639812
0,3441,9,47956,0.9542425094393249
0,3524,3,17064,0.47712125471966244
0,3706,429,1763987,2.632457292184724
0,3797,2,18872,0.3010299956639812
0,4092,18,928619,1.255272505103306
0,4159,5,413820,0.6989700043360189
0,4191,2,3507,0.3010299956639812
0,4217,8,390652,0.9030899869919435
0,4266,43,18848,1.6334684555795866
0,4555,1,3268,0.0
0,4589,7,38845,0.8450980400142568
0,4654,22,100861,1.3424226808222062
0,4704,1,30389,0.0
0,4837,2,63823,0.3010299956639812
0,4852,15,886163,1.1760912590556813
0,4878,53,30238081,1.7242758696007892
0,4902,66,18093072,1.8195439355418688
0,4910,37,9911749,1.568201724066995
0,4928,7,344592,0.8450980400142568
0,5735,4,282037,0.6020599913279624
0,5792,2,39942,0.3010299956639812
0,5883,2,84708,0.3010299956639812
0,5958,8,66509,0.9030899869919435
0,8101,8,879423,0.9030899869919435
0,8135,11,5648957,1.041392685158225
0,8218,2,381124,0.3010299956639812
0,8283,1,421754,0.0
0,8317,12,122705,1.0791812460476249
0,8333,3,6447,0.47712125471966244
0,8382,3,277559,0.47712125471966244
0,8424,1,1758,0.0
0,8572,3,142419,0.47712125471966244
0,8580,9,17045,0.9542425094393249
0,8622,3,24732,0.47712125471966244
0,8796,1,636919,0.0
0,9042,3,29842,0.47712125471966244
0,9059,32,165007,1.505149978319906
0,9091,8,32929,0.9030899869919435
0,9182,1,933198,0.0
0,9216,5,38077,0.6989700043360189
0,9232,14,1550596,1.146128035678238
0,9323,1,212383,0.0
0,9331,4,4142,0.6020599913279624
0,9356,1,405670,0.0
0,9430,3,42827,0.47712125471966244
0,9521,2,5005,0.3010299956639812
0,9570,2,9797,0.3010299956639812
0,9638,15,1584177,1.1760912590556813
0,9653,3,23865,0.47712125471966244
0,9703,6,59574,0.7781512503836436
0,9711,2,1201997,0.3010299956639812
0,9729,18,524503,1.255272505103306
0,9786,31,12683585,1.4913616938342726
0,9893,4,44444,0.6020599913279624
0,10131,2,1396,0.3010299956639812
0,10156,1,40856,0.0
0,10578,5,50800,0.6989700043360189
0,10602,4,17286273,0.6020599913279624
0,10883,20,11309479,1.3010299956639813
0,10933,4,271375,0.6020599913279624
0,10990,13,3775344,1.1139433523068367
0,11030,1,1921,0.0
0,11154,4,10732,0.6020599913279624
0,11170,2,4318,0.3010299956639812
0,11600,3,128820,0.47712125471966244
0,11634,3,31048,0.47712125471966244
0,11642,2,76200,0.3010299956639812
0,11675,1,1982,0.0
0,11683,1,126718,0.0
0,11709,1,711,0.0
0,12236,2,83109,0.3010299956639812
0,12277,37,275183,1.568201724066995
0,12475,1,2342,0.0
0,12483,4,45600,0.6020599913279624
0,12533,4,23076,0.6020599913279624
0,12939,1,6662,0.0
0,13382,1,26737,0.0
0,13473,1,1889,0.0
0,13853,16,2377456,1.2041199826559248
0,13937,2,13774,0.3010299956639812
0,14034,3,18391,0.47712125471966244
0,14042,5,3232222,0.6989700043360189
0,14182,2,43487,0.3010299956639812
0,14398,8,471834,0.9030899869919435
0,14414,6,110170,0.7781512503836436
0,14471,5,7051,0.6989700043360189
0,14497,2,19028,0.3010299956639812
0,14596,1,396368,0.0
0,14703,4,9823,0.6020599913279624
0,14737,4,889329,0.6020599913279624
0,15171,1,650,0.0
0,15288,4,52127,0.6020599913279624
0,17482,5,245752,0.6989700043360189
0,17607,2,177071,0.3010299956639812
0,18829,5,17897,0.6989700043360189
0,18860,1,77376,0.0
0,19033,3,459,0.47712125471966244
0,19066,1,9292,0.0
0,19074,1,226520,0.0
0,19116,3,2822528,0.47712125471966244
0,19132,3,5893,0.47712125471966244
0,19207,7,315793,0.8450980400142568
0,19298,8,2138682,0.9030899869919435
0,19413,16,4800520,1.2041199826559248
0,19470,8,2119135,0.9030899869919435
0,19611,2,1296875,0.3010299956639812
0,19629,21,271698,1.3222192947339193
0,19660,2,51572,0.3010299956639812
0,20023,3,73764,0.47712125471966244
0,20270,1,52358,0.0
0,21328,2,280673,0.3010299956639812
0,21872,27,1006366,1.4313637641589874
0,27135,3,79431,0.47712125471966244
0,30360,1,26517,0.0
0,30402,2,56358,0.3010299956639812
0,30659,9,100481,0.9542425094393249
0,30725,6,5920038,0.7781512503836436
0,31236,3,9929,0.47712125471966244
0,31343,1,88005,0.0
0,31749,7,491187,0.8450980400142568
0,31830,6,45668,0.7781512503836436
0,32168,2,18435,0.3010299956639812
0,32671,2,61781,0.3010299956639812
0,32812,4,24400,0.6020599913279624
0,33158,1,55209,0.0
0,33810,1,14504,0.0
0,33901,12,59989,1.0791812460476249
0,33968,4,171477,0.6020599913279624
0,34016,3,2832344,0.47712125471966244
0,35385,1,115697,0.0
0,35542,1,2424,0.0
0,35716,3,2224,0.47712125471966244
0,36060,5,243816,0.6989700043360189
0,36078,5,86557,0.6989700043360189
0,37274,14,177885,1.146128035678238
0,37373,4,162305,0.6020599913279624
0,37555,19,19559191,1.2787536009528289
0,37597,37,969921,1.568201724066995
0,37928,1,42,0.0
0,37936,166,1667809,2.220108088040055
0,38082,2,285208,0.3010299956639812
0,38090,32,9557759,1.505149978319906
0,38272,1,614,0.0
0,38397,4,1509,0.6020599913279624
0,38413,1,5955,0.0
0,38488,1,342888,0.0
0,38629,1,70670,0.0
0,38751,1,4021,0.0
0,38942,20,17074947,1.3010299956639813
0,39320,10,318153,1.0
0,39908,1,22011,0.0
0,40294,1,3179,0.0
0,40336,8,56879,0.9030899869919435
0,40443,2,91470,0.3010299956639812
0,40534,6,1673141,0.7781512503836436
0,40617,4,197525,0.6020599913279624
0,40724,14,1341031,1.146128035678238
0,40856,3,626074,0.47712125471966244
0,41011,3,403698,0.47712125471966244
0,41276,5,10508,0.6989700043360189
0,41615,7,755970,0.8450980400142568
0,41672,4,277417,0.6020599913279624
0,41946,1,1078,0.0
0,42019,542,1423323,2.733999286538387
0,42357,3,1677014,0.47712125471966244
0,42613,1,78361,0.0
0,42753,1,9311,0.0
0,42779,1,92885,0.0
0,42969,1,12310,0.0
0,43025,2,9730,0.3010299956639812
0,43702,3,667788,0.47712125471966244
0,43769,2,75848,0.3010299956639812
0,43801,2,641,0.3010299956639812
0,44205,3,1239143,0.47712125471966244
0,44528,5,281843,0.6989700043360189
0,384941,1,3317,0.0
0,395620,6,9954,0.7781512503836436
0,5420054,39,317005,1.591064607026499
0,5420120,2,398820,0.3010299956639812
0,5420195,5,207780,0.6989700043360189
0,5480546,2,85861,0.3010299956639812
0,5520242,7,149282,0.8450980400142568
0,5520325,8,60894,0.9030899869919435
0,5520440,53,229652,1.7242758696007892
0,5620091,1,1851,0.0
0,5620117,1,201,0.0
0,5620174,1,920,0.0
0,5650056,1,5147,0.0
0,5650189,7,453681,0.8450980400142568
0,5680145,48,1307348,1.6812412373755872
0,5720537,3,3520,0.47712125471966244
0,5720784,91,3338173,1.9590413923210936
0,5820428,1,171977,0.0
0,5820477,15,259598,1.1760912590556813
0,5873500,5,7768,0.6989700043360189
0,6010482,1,920,0.0
0,6020135,3,79569,0.47712125471966244
0,6480206,21,84043,1.3222192947339193
0,6580195,16,4421736,1.2041199826559248
0,6620066,46,6354643,1.662757831681574
0,6680045,2,67168,0.3010299956639812
0,6720098,1,794,0.0
0,6720148,1,235503,0.0
0,6780514,62,511720,1.792391689498254
0,6850234,5,457078,0.6989700043360189
0,6880066,1,40124,0.0
0,6950018,1,17380,0.0
0,6950265,3,141604,0.47712125471966244
0,6980577,3,365373,0.47712125471966244
0,7080773,11,215337,1.041392685158225
0,7120033,5,157191,0.6989700043360189
0,7220338,5,9017,0.6989700043360189
0,7310337,1,56822,0.0
0,7320203,10,2058362,1.0
0,9146648,4,80019,0.6020599913279624
0,13905864,30,159001,1.4771212547196624
0,13932785,17,667077,1.2304489213782739
0,15450992,18,795344,1.255272505103306
0,15480072,2,67077,0.3010299956639812
0,15550650,60,765552,1.7781512503836436
0,15550775,15,82001,1.1760912590556813
0,15550791,2,7446,0.3010299956639812
0,15551278,3,28932,0.47712125471966244
0,15551393,8,407193,0.9030899869919435
0,15551450,78,1672682,1.8920946026904804
0,15551542,1,175242,0.0
0,15650039,26,1070863,1.414973347970818
0,15650286,21,111193,1.3222192947339193
0,15750193,16,4980523,1.2041199826559248
0,15750953,1,17547,0.0
0,15750961,27,261352,1.4313637641589874
0,15752595,6,91238,0.7781512503836436
0,15753320,69,2041395,1.8388490907372552
0,15753585,1,90207,0.0
0,15753593,3,12938,0.47712125471966244
0,15753981,57,930313,1.7558748556724915
0,15754088,2,789069,0.3010299956639812
0,15780067,9,283752,0.9542425094393249
0,15780174,7,1382494,0.8450980400142568
0,15780240,1,29497,0.0
0,15850308,38,279647,1.5797835966168101
0,15850944,57,618287,1.7558748556724915
0,15850969,33,293656,1.5185139398778875
0,15871023,3,549,0.47712125471966244
0,15945090,4,429026,0.6020599913279624
0,15950033,8,84668,0.9030899869919435
0,15950199,16,350800,1.2041199826559248
0,15950827,28,1450713,1.4471580313422192
0,15980022,23,277637,1.3617278360175928
0,16050080,7,235199,0.8450980400142568
0,16050510,1,360920,0.0
0,16072472,18,37182977,1.255272505103306
0,16150062,1,331165,0.0
0,16150484,16,1307516,1.2041199826559248
0,16250086,33,256139,1.5185139398778875
0,16250102,8,556770,0.9030899869919435
0,16250433,1,15537,0.0
0,16270100,1,657202,0.0
0,16350522,112,282701,2.0492180226701815
0,16350647,13,198465,1.1139433523068367
0,16380081,21,2700624,1.3222192947339193
0,16450298,3,64272,0.47712125471966244
0,16643827,12,465942,1.0791812460476249
0,16650343,16,37505,1.2041199826559248
0,16650590,6,195325,0.7781512503836436
0,16650616,1,49602,0.0
0,16650996,4,251566,0.6020599913279624
0,16743551,2,7680,0.3010299956639812
0,16750812,6,66517,0.7781512503836436
0,16850554,1,929,0.0
0,16850992,158,17714777,2.1986570869544226
0,16950545,10,59007,1.0
0,16950958,25,218757,1.3979400086720377
0,16970139,2,492583,0.3010299956639812
0,16980062,6,137400,0.7781512503836436
0,17050055,1,1030,0.0
0,17050410,57,4981553,1.7558748556724915
0,17050659,2,757,0.3010299956639812
0,17150038,51,1347916,1.7075701760979363
0,17180084,8,189744,0.9030899869919435
0,17250051,50,9787221,1.6989700043360187
0,17250200,1,136,0.0
0,17250705,6,73599,0.7781512503836436
0,17251067,12,1369587,1.0791812460476249
0,17251190,24,69652,1.380211241711606
0,17380106,1,38112,0.0
0,17509530,1,5362,0.0
0,25480401,1,136,0.0
0,25550120,2,1986866,0.3010299956639812
0,25580333,49,6375831,1.6901960800285136
0,25620089,30,35847766,1.4771212547196624
0,25620360,2,81509,0.3010299956639812
0,25770470,8,241677,0.9030899869919435
0,25780396,2,55948,0.3010299956639812
0,25880469,1,20006,0.0
0,25880485,1,45381,0.0
0,25980186,69,2333828,1.8388490907372552
0,26050088,1,59500,0.0
0,26250050,13,668800,1.1139433523068367
0,26280180,56,4434771,1.7481880270062005
0,26280206,15,350679,1.1760912590556813
0,26320028,13,120875,1.1139433523068367
0,26441501,67,563641,1.8260748027008264
0,26472985,2,2132,0.3010299956639812
0,26620013,1,491721,0.0
0,26650044,16,2254043,1.2041199826559248
0,26820092,4,155048,0.6020599913279624
0,26920033,8,1002620,0.9030899869919435
0,26950030,2,318038,0.3010299956639812
0,26980045,4,6363,0.6020599913279624
0,27080225,11,525305,1.041392685158225
0,27110071,9,452186,0.9542425094393249
0,27150044,3,58007,0.47712125471966244
0,27220177,9,135044,0.9542425094393249
0,27250026,33,101600,1.5185139398778875
0,27320134,3,1087040,0.47712125471966244
0,27320266,4,92593,0.6020599913279624
0,27350222,13,264368,1.1139433523068367
0,27350321,1,991,0.0
0,27380047,82,1328855,1.9138138523837167
0,27380682,3,92537,0.47712125471966244
0,30601140,5,24143,0.6989700043360189
0,35480052,2,2180,0.3010299956639812
0,35570357,10,79282,1.0
0,35580034,64,1369483,1.806179973983887
0,35580091,49,322881,1.6901960800285136
0,35650167,29,15985454,1.462397997898956
0,35680024,75,806791,1.8750612633917
0,35680123,120,7886277,2.0791812460476247
0,35680156,124,3433423,2.093421685162235
0,35720457,15,125414,1.1760912590556813
0,35721091,22,1016450,1.3424226808222062
