ID,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,39221936.0,25570888.0,44242010.0,15059966.0,59728075.0,15968725.0,10898688.0,17347610.0,8497408.0,14039430.0,14002070.0,51159831.0,9797082.0,97040100.0,1428651.0,131222.0,1109.0
413,976657.0,818062.0,762762.0,1012236.0,388728.0,754338.0,869211.0,736502.0,1098178.0,1058205.0,1118254.0,551161.0,793204.0,784654.0,1691047.0,5172944.0,9808114.0
546,450316.0,488218.0,353265.0,2966408.0,2606500.0,3020833.0,3013409.0,3950059.0,4097838.0,4232783.0,6569642.0,6004296.0,4514340.0,3693023.0,4455220.0,2339858.0,1951621.0
793,29624918.0,17620424.0,23521760.0,25310250.0,32158982.0,38276041.0,36409435.0,40324426.0,38540422.0,38762066.0,36693750.0,29929726.0,28043941.0,28052697.0,14339934.0,16471139.0,46558559.0
835,122040.0,110998.0,117389.0,5817.0,388466.0,234021.0,119448.0,91273.0,26017.0,887621.0,4160040.0,9932829.0,10016350.0,4715135.0,984059.0,4182433.0,8039853.0
2880,1091409.0,1319573.0,1538926.0,1611131.0,974320.0,1677794.0,2163058.0,2087661.0,2599809.0,2921922.0,2621100.0,2688060.0,2380470.0,2216088.0,5404749.0,6017652.0,8816172.0
2971,2918867.0,3812366.0,4134019.0,5733565.0,5327697.0,7593670.0,5374256.0,8414848.0,11364833.0,13494027.0,12357707.0,12487927.0,12185953.0,13369916.0,24114904.0,25673703.0,16239687.0
3102,1284371.0,1234350.0,1516413.0,1359304.0,1612447.0,1438637.0,1539310.0,1908995.0,1916402.0,1699238.0,2012813.0,1570013.0,1832985.0,1089204.0,2426507.0,2862808.0,4035371.0
3110,57918585.0,57316797.0,75070975.0,76624532.0,48585414.0,66679426.0,79801627.0,79336384.0,80673097.0,81723848.0,82400061.0,82320127.0,76322801.0,77478831.0,59431320.0,4721813.0,45357193.0
3144,1561720.4,1561720.4,1561720.4,372507.0,59182.0,555494.0,2395141.0,3374021.0,4167666.0,1081571.0,895166.0,400000.0,2316456.0,1561720.4,1561720.4,1561720.4,1561720.4
3706,1288848.0,1328490.0,2054736.0,2566724.0,3584152.0,3225499.0,4435906.0,4215635.0,3895505.0,4001345.0,4600122.0,5808371.0,5674442.0,4976954.0,7970687.0,6678309.0,6997322.0
